场景号	地图号	进入脚本	传送脚本
#00E6 [230]	188	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@10C9 [4297]	0	304	680	0	906D	0000	1	5	0	0	0	0	0	0	0	0	
@10CA [4298]	0	1040	696	0	9075	0000	1	5	0	0	0	0	0	0	0	0	
@10CB [4299]	0	1040	712	-9	0000	0000	1	0	613	0	0	0	0	0	0	0	
@10CC [4300]	0	816	488	0	908C	0000	1	6	0	0	0	0	0	0	0	0	
@10CD [4301]	0	624	584	0	9094	0000	1	6	0	0	0	0	0	0	0	0	
@10CE [4302]	0	1216	480	0	909C	0000	1	6	0	0	0	0	0	0	0	0	
@10CF [4303]	0	1440	592	0	90A4	0000	1	6	0	0	0	0	0	0	0	0	
@10D0 [4304]	0	1664	704	0	90A8	0000	1	6	0	0	0	0	0	0	0	0	
@10D1 [4305]	0	224	688	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@10D2 [4306]	0	592	616	6	0000	0005	1	0	619	0	0	5	0	0	0	0	
@10D3 [4307]	0	784	520	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@10D4 [4308]	0	1104	440	6	0000	0005	1	0	619	0	0	4	0	0	0	0	
@10D5 [4309]	0	1328	552	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@10D6 [4310]	0	1552	664	6	0000	0005	1	0	619	0	0	5	0	0	0	0	
