场景号	地图号	进入脚本	传送脚本
#00E7 [231]	177	8F85	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@10D7 [4311]	0	272	344	0	8AD6	0000	1	5	0	0	0	0	0	0	0	0	
@10D8 [4312]	0	160	432	10	8F45	8F40	1	7	582	0	0	0	0	0	0	0	
@10D9 [4313]	0	544	1344	10	0000	0000	0	0	582	0	0	0	0	0	0	0	
@10DA [4314]	0	352	1440	0	8F4B	0000	1	6	0	0	0	0	0	0	0	0	
@10DB [4315]	0	384	1424	0	0000	8FB6	0	0	584	0	0	0	0	0	0	0	
@10DC [4316]	0	384	1424	0	0000	0005	0	0	585	0	0	0	0	0	0	0	
@10DD [4317]	0	1072	408	0	07E3	0000	2	1	10	0	0	0	0	0	0	0	
@10DE [4318]	0	1744	744	0	07E9	0000	2	1	10	0	0	0	0	0	0	0	
@10DF [4319]	0	1568	1024	0	07D7	0000	2	1	10	0	0	0	0	0	0	0	
@10E0 [4320]	0	304	1592	0	07BF	0000	2	1	10	0	0	0	0	0	0	0	
@10E1 [4321]	0	1072	1096	0	07DD	0000	2	1	10	0	0	0	0	0	0	0	
@10E2 [4322]	0	1024	640	0	07D1	0000	2	1	10	0	0	0	0	0	0	0	
@10E3 [4323]	0	368	568	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@10E4 [4324]	0	544	944	0	07D7	0000	2	1	10	0	0	0	0	0	0	0	
@10E5 [4325]	0	816	360	10	A017	9CAA	2	5	256	4	0	0	0	0	0	0	
@10E6 [4326]	0	832	320	10	A00D	9CAA	2	5	256	4	0	0	0	0	0	0	
@10E7 [4327]	0	1408	128	10	A021	9CAA	2	5	256	4	0	0	0	0	0	0	
@10E8 [4328]	0	1568	352	10	A019	9CAA	2	5	256	4	0	0	0	0	0	0	
@10E9 [4329]	0	1616	440	10	A00B	9CAA	2	5	256	4	0	0	0	0	0	0	
@10EA [4330]	0	1520	504	10	A00D	9CAA	2	5	256	4	0	0	0	0	0	0	
@10EB [4331]	0	1360	456	10	A01D	9CAA	2	5	256	4	0	0	0	0	0	0	
@10EC [4332]	0	944	472	10	A023	9CAA	2	5	256	4	0	0	0	0	0	0	
@10ED [4333]	0	1856	480	10	A009	9CAA	2	5	256	4	0	0	0	0	0	0	
@10EE [4334]	0	1808	536	10	A00D	9CAA	2	5	256	4	0	0	0	0	0	0	
@10EF [4335]	0	1760	656	10	A027	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F0 [4336]	0	1392	824	10	A009	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F1 [4337]	0	1536	1008	10	A01B	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F2 [4338]	0	1408	1104	10	A015	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F3 [4339]	0	1136	1304	10	A013	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F4 [4340]	0	1056	1456	10	A015	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F5 [4341]	0	384	1632	10	A00F	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F6 [4342]	0	1024	1072	10	A00D	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F7 [4343]	0	896	1120	10	A01F	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F8 [4344]	0	336	648	10	A00F	9CAA	2	5	256	4	0	0	0	0	0	0	
@10F9 [4345]	0	304	712	10	A017	9CAA	2	5	256	4	0	0	0	0	0	0	
