场景号	地图号	进入脚本	传送脚本
$00E9 [233]	189	8ED6	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#10FD [4349]	0	1808	1144	0	8ADA	0000	1	5	0	0	0	0	0	0	0	0
#10FE [4350]	0	336	376	10	8F45	8F25	0	7	582	0	0	0	0	0	0	0
#10FF [4351]	0	512	464	0	0000	0000	0	0	583	0	0	0	0	0	0	0
#1100 [4352]	0	480	448	0	8EDE	0000	1	6	0	0	0	0	0	0	0	0
#1101 [4353]	0	1568	336	0	07DD	0000	2	1	10	0	0	0	0	0	0	0
#1102 [4354]	0	736	576	0	07D7	0000	2	1	10	0	0	0	0	0	0	0
#1103 [4355]	0	496	1384	0	07CB	0000	2	1	10	0	0	0	0	0	0	0
#1104 [4356]	0	320	1440	0	07C5	0000	2	1	10	0	0	0	0	0	0	0
#1105 [4357]	0	720	1704	0	07E9	0000	2	1	10	0	0	0	0	0	0	0
#1106 [4358]	0	1232	216	10	A009	9CAA	2	5	256	4	0	0	0	0	0	0
#1107 [4359]	0	1632	240	10	A021	9CAA	2	5	256	4	0	0	0	0	0	0
#1108 [4360]	0	576	640	10	A019	9CAA	2	5	256	4	0	0	0	0	0	0
#1109 [4361]	0	352	528	10	A00B	9CAA	2	5	256	4	0	0	0	0	0	0
#110A [4362]	0	352	688	10	A017	9CAA	2	5	256	4	0	0	0	0	0	0
#110B [4363]	0	128	704	10	A029	9CAA	2	5	256	4	0	0	0	0	0	0
#110C [4364]	0	144	792	10	A009	9CAA	2	5	256	4	0	0	0	0	0	0
#110D [4365]	0	64	784	10	A00B	9CAA	2	5	256	4	0	0	0	0	0	0
#110E [4366]	0	592	1608	10	A01B	9CAA	2	5	256	4	0	0	0	0	0	0
#110F [4367]	0	592	1656	10	A00D	9CAA	2	5	256	4	0	0	0	0	0	0
#1110 [4368]	0	432	1800	10	A021	9CAA	2	5	256	4	0	0	0	0	0	0
#1111 [4369]	0	560	1832	10	A027	9CAA	2	5	256	4	0	0	0	0	0	0
#1112 [4370]	0	1136	1112	10	A017	9CAA	2	5	256	4	0	0	0	0	0	0
#1113 [4371]	0	1568	704	10	A025	9CAA	2	5	256	4	0	0	0	0	0	0
#1114 [4372]	0	1408	704	10	A023	9CAA	2	5	256	4	0	0	0	0	0	0
#1115 [4373]	0	1840	488	10	A00D	9CAA	2	5	256	4	0	0	0	0	0	0
#1116 [4374]	0	1488	504	10	A01F	9CAA	2	5	256	4	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
