场景号	地图号	进入脚本	传送脚本
$00EB [235]	193	8BD2	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#111E [4382]	0	192	928	0	8BCA	0000	1	5	0	0	0	0	0	0	0	0
#111F [4383]	0	1728	1696	0	8C41	0000	2	2	611	1	2	0	0	0	0	0
#1120 [4384]	0	1680	1672	0	8C37	0000	2	2	611	1	3	0	0	0	0	0
#1121 [4385]	0	1360	1416	0	0000	8C15	2	2	203	3	0	0	0	0	0	0
#1122 [4386]	0	1312	1456	0	0000	0000	2	2	202	3	0	0	0	0	0	0
#1123 [4387]	0	1200	1576	0	0000	8C20	2	2	204	3	0	0	0	0	0	0
#1124 [4388]	0	1072	1576	0	0000	0000	2	2	201	3	0	0	0	0	0	0
#1125 [4389]	0	896	1504	0	0000	0000	2	2	200	3	2	0	0	0	0	0
#1126 [4390]	0	864	1488	0	0000	0011	2	2	216	3	3	0	0	0	0	0
#1127 [4391]	0	880	1464	0	0000	0000	2	2	218	3	3	0	0	0	0	0
#1128 [4392]	0	688	1480	0	0000	8C2A	2	2	204	3	0	0	0	0	0	0
#1129 [4393]	0	496	1240	0	0000	01F6	2	2	218	3	0	0	0	0	0	0
#112A [4394]	0	592	1176	0	0000	000B	2	2	216	3	0	0	0	0	0	0
#112B [4395]	0	624	1192	0	0000	000B	2	2	200	3	0	0	0	0	0	0
#112C [4396]	0	1072	1400	0	0000	0011	2	2	202	3	0	0	0	0	0	0
#112D [4397]	0	320	1184	0	0000	0000	2	2	201	3	0	0	0	0	0	0
#112E [4398]	0	144	1256	0	0000	0000	2	2	203	3	1	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
