场景号	地图号	进入脚本	传送脚本
#00EC [236]	183	8A95	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@112F [4399]	0	592	1624	0	8AA2	0000	1	5	0	0	0	0	0	0	0	0	
@1130 [4400]	0	464	1224	0	8AA6	0000	1	5	0	0	0	0	0	0	0	0	
@1131 [4401]	0	1328	1704	0	8AAE	0000	1	5	0	0	0	0	0	0	0	0	
@1132 [4402]	0	1696	1440	0	8AB6	0000	1	5	0	0	0	0	0	0	0	0	
@1133 [4403]	0	960	1056	0	8ABE	0000	1	5	0	0	0	0	0	0	0	0	
@1134 [4404]	0	1344	1248	0	8AC6	0000	1	5	0	0	0	0	0	0	0	0	
@1135 [4405]	0	1072	1464	-9	0000	8D70	1	0	578	0	0	0	0	0	0	0	
@1136 [4406]	0	1184	1440	-9	0000	8D70	1	0	578	0	0	1	0	0	0	0	
@1137 [4407]	0	1120	1424	-9	0000	8D70	1	0	578	0	0	2	0	0	0	0	
@1138 [4408]	0	992	1344	-9	0000	8D70	1	0	578	0	0	0	0	0	0	0	
@1139 [4409]	0	960	1392	-9	0000	8D70	1	0	578	0	0	2	0	0	0	0	
@113A [4410]	0	896	1344	-9	0000	8D70	1	0	578	0	0	1	0	0	0	0	
@113B [4411]	0	944	1352	-9	0000	8D70	1	0	580	0	0	0	0	0	0	0	
@113C [4412]	0	992	1328	-9	0000	8D70	1	0	580	0	0	2	0	0	0	0	
@113D [4413]	0	880	1304	-9	0000	8D70	1	0	580	0	0	1	0	0	0	0	
@113E [4414]	0	912	1368	-9	0000	8D70	1	0	580	0	0	3	0	0	0	0	
@113F [4415]	0	1136	1448	-9	0000	8D70	1	0	580	0	0	2	0	0	0	0	
@1140 [4416]	0	1232	1464	-9	0000	8D70	1	0	580	0	0	0	0	0	0	0	
@1141 [4417]	0	1040	1416	0	0000	0000	2	0	579	0	0	4	0	0	0	0	
@1142 [4418]	0	912	1528	0	0000	0000	2	0	581	0	0	1	0	0	0	0	
@1143 [4419]	0	784	1496	0	0000	0000	2	0	581	0	0	5	0	0	0	0	
@1144 [4420]	0	800	1568	0	0000	0000	2	0	581	0	0	3	0	0	0	0	
@1145 [4421]	0	752	1464	0	0000	0000	2	0	581	0	0	0	0	0	0	0	
@1146 [4422]	0	848	1208	0	0000	0000	2	0	579	0	0	0	0	0	0	0	
@1147 [4423]	0	1120	1360	0	901B	0000	2	2	554	3	0	0	0	0	0	0	
@1148 [4424]	0	1104	1368	0	9040	0000	2	1	557	0	0	0	0	0	0	0	
@1149 [4425]	0	1104	1288	0	9040	0000	2	1	561	0	0	1	0	0	0	0	
@114A [4426]	0	1088	1280	0	9040	0000	2	1	555	0	0	0	0	0	0	0	
@114B [4427]	0	1040	1256	0	9040	0000	2	1	560	0	0	1	0	0	0	0	
@114C [4428]	0	1008	1240	0	9040	0000	2	1	557	0	0	1	0	0	0	0	
@114D [4429]	0	992	1232	0	9040	0000	2	1	558	0	0	1	0	0	0	0	
@114E [4430]	0	944	1208	0	9040	0000	2	1	556	0	0	1	0	0	0	0	
@114F [4431]	0	880	1176	0	9040	0000	2	1	559	0	0	1	0	0	0	0	
@1150 [4432]	0	1360	1416	0	9040	0000	2	1	561	0	0	0	0	0	0	0	
@1151 [4433]	0	1328	1400	0	9040	0000	2	1	555	0	0	1	0	0	0	0	
@1152 [4434]	0	1280	1376	0	9040	0000	2	1	560	0	0	1	0	0	0	0	
@1153 [4435]	0	816	1208	0	901F	0011	2	2	545	3	3	0	0	0	0	0	
@1154 [4436]	0	784	1224	0	9024	0011	2	2	544	3	3	0	0	0	0	0	
@1155 [4437]	0	1008	1416	0	9016	0008	2	2	554	3	2	0	0	0	0	0	
@1156 [4438]	0	1232	1368	0	9029	000E	2	2	545	3	1	0	0	0	0	0	
@1157 [4439]	0	832	1472	0	902D	0011	2	2	545	3	3	0	0	0	0	0	
@1158 [4440]	0	896	1504	0	9032	000E	2	2	545	3	1	0	0	0	0	0	
@1159 [4441]	0	688	1288	0	9038	0000	2	2	544	3	2	0	0	0	0	0	
@115A [4442]	0	1376	1440	0	903D	000E	2	2	545	3	1	0	0	0	0	0	
@115B [4443]	0	1152	1664	0	9004	8D5C	2	2	545	3	0	0	0	0	0	0	
@115C [4444]	0	672	1312	0	900E	8D61	2	2	545	3	0	0	0	0	0	0	
