场景号	地图号	进入脚本	传送脚本
#00ED [237]	182	8A95	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@115D [4445]	0	656	1720	0	8ABA	0000	1	5	0	0	0	0	0	0	0	0	
@115E [4446]	0	240	1480	0	8AC2	0000	1	5	0	0	0	0	0	0	0	0	
@115F [4447]	0	1824	1456	0	8ACE	0000	1	5	0	0	0	0	0	0	0	0	
@1160 [4448]	0	912	1336	0	9043	0011	2	2	30	3	3	0	0	0	0	0	
@1161 [4449]	0	976	1368	0	904C	000E	2	2	30	3	1	0	0	0	0	0	
@1162 [4450]	0	1568	1280	0	9058	0011	2	2	30	3	3	0	0	0	0	0	
@1163 [4451]	0	1552	1304	0	8D78	0000	1	5	0	0	0	0	0	0	0	0	
@1164 [4452]	0	1504	1040	0	0000	0000	2	0	565	0	0	0	0	0	0	0	
@1165 [4453]	0	1424	1080	0	0000	0000	2	0	562	3	2	0	0	0	0	0	
@1166 [4454]	0	1456	1016	0	0000	0000	2	0	30	3	0	0	0	0	0	0	
@1167 [4455]	0	1568	1072	0	0000	0000	2	0	30	3	0	0	0	0	0	0	
@1168 [4456]	0	1392	1112	0	0000	0000	2	0	544	3	3	0	0	0	0	0	
@1169 [4457]	0	1504	1152	0	0000	0000	2	0	544	3	1	0	0	0	0	0	
@116A [4458]	0	1408	1120	0	0000	0000	2	0	544	3	2	0	0	0	0	0	
@116B [4459]	0	1456	1128	0	0000	0000	2	0	545	3	1	0	0	0	0	0	
@116C [4460]	0	1360	1112	0	0000	0000	2	0	544	3	2	0	0	0	0	0	
@116D [4461]	0	1360	1144	0	0000	0000	2	0	544	3	2	0	0	0	0	0	
@116E [4462]	0	1312	1120	0	0000	0000	2	0	545	3	2	0	0	0	0	0	
@116F [4463]	0	1312	1072	0	0000	0000	2	0	545	3	3	0	0	0	0	0	
@1170 [4464]	0	1408	1168	0	0000	0000	2	0	545	3	2	0	0	0	0	0	
@1171 [4465]	0	1344	1168	0	0000	0000	2	0	544	3	2	0	0	0	0	0	
