场景号	地图号	进入脚本	传送脚本
$00F3 [243]	206	0000	9085	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#1182 [4482]	0	1808	1704	0	90B4	0000	1	5	0	0	0	0	0	0	0	0
#1183 [4483]	0	304	376	0	90C0	0000	1	5	0	0	0	0	0	0	0	0
#1184 [4484]	0	1440	1520	-1	90DF	0000	2	5	351	3	0	0	0	0	0	0
#1185 [4485]	0	1776	1544	6	0000	0005	1	0	619	0	0	5	0	0	0	0
#1186 [4486]	0	1520	1672	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#1187 [4487]	0	1568	1440	6	0000	0005	1	0	619	0	0	2	0	0	0	0
#1188 [4488]	0	1312	1568	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#1189 [4489]	0	1568	1088	6	0000	0005	1	0	619	0	0	6	0	0	0	0
#118A [4490]	0	1776	1192	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#118B [4491]	0	688	1256	6	0000	0005	1	0	619	0	0	4	0	0	0	0
#118C [4492]	0	960	1120	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#118D [4493]	0	512	832	6	0000	0005	1	0	619	0	0	5	0	0	0	0
#118E [4494]	0	336	504	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#118F [4495]	0	800	1232	0	048F	0000	2	1	10	0	0	0	0	0	0	0
#1190 [4496]	0	864	1200	0	0495	0000	2	1	10	0	0	0	0	0	0	0
#1191 [4497]	0	896	752	0	047D	0000	2	1	10	0	0	0	0	0	0	0
#1192 [4498]	0	256	1344	0	049B	0000	2	1	10	0	0	0	0	0	0	0
#1193 [4499]	0	288	1296	0	048F	0000	2	1	10	0	0	0	0	0	0	0
#1194 [4500]	0	480	368	0	04A7	0000	2	1	10	0	0	0	0	0	0	0
#1195 [4501]	0	240	440	0	0489	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
