场景号	地图号	进入脚本	传送脚本
#00F4 [244]	208	0000	9085	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@1196 [4502]	0	1760	1600	0	90C4	0000	1	5	0	0	0	0	0	0	0	0	
@1197 [4503]	0	752	632	0	90C8	0000	1	5	0	0	0	0	0	0	0	0	
@1198 [4504]	0	992	752	0	90D0	0000	1	5	0	0	0	0	0	0	0	0	
@1199 [4505]	0	1648	1448	6	0000	0005	1	0	619	0	0	5	0	0	0	0	
@119A [4506]	0	1520	1512	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@119B [4507]	0	816	1704	6	0000	0005	1	0	619	0	0	4	0	0	0	0	
@119C [4508]	0	928	1312	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@119D [4509]	0	528	1336	6	0000	0005	1	0	619	0	0	3	0	0	0	0	
@119E [4510]	0	592	1048	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@119F [4511]	0	368	936	6	0000	0005	1	0	619	0	0	5	0	0	0	0	
@11A0 [4512]	0	816	824	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@11A1 [4513]	0	544	688	6	0000	0005	1	0	619	0	0	5	0	0	0	0	
@11A2 [4514]	0	1472	752	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@11A3 [4515]	0	1248	640	6	0000	0005	1	0	619	0	0	3	0	0	0	0	
@11A4 [4516]	0	1120	1776	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@11A5 [4517]	0	1568	1264	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@11A6 [4518]	0	928	976	0	0801	0000	2	1	10	0	0	0	0	0	0	0	
@11A7 [4519]	0	1040	1032	0	07D7	0000	2	1	10	0	0	0	0	0	0	0	
@11A8 [4520]	0	256	1024	0	07D7	0000	2	1	10	0	0	0	0	0	0	0	
@11A9 [4521]	0	320	992	0	07D7	0000	2	1	10	0	0	0	0	0	0	0	
