场景号	地图号	进入脚本	传送脚本
#00FA [250]	197	9271	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@11F3 [4595]	0	160	144	0	9134	0000	1	7	0	0	0	0	0	0	0	0	
@11F4 [4596]	0	1856	1952	0	9177	0000	1	7	0	0	0	0	0	0	0	0	
@11F5 [4597]	0	1648	1608	0	9CDB	9CAA	1	5	11	0	0	0	0	0	0	0	
@11F6 [4598]	0	1632	1424	0	9CD8	9CAA	1	5	11	0	0	0	0	0	0	0	
@11F7 [4599]	0	768	1728	0	9CF9	9CC9	1	5	60	0	0	0	0	0	0	0	
@11F8 [4600]	0	576	1456	0	9CD2	9CC9	1	5	462	0	0	0	0	0	0	0	
@11F9 [4601]	0	912	1176	0	9CE7	9CA4	1	5	473	2	0	0	0	0	0	0	
@11FA [4602]	0	1696	928	0	9CDE	9CA4	1	5	473	2	0	0	0	0	0	0	
@11FB [4603]	0	1424	1080	0	9CE1	9CA4	1	5	473	2	0	0	0	0	0	0	
@11FC [4604]	0	1392	840	0	9CFC	9CC9	1	5	466	0	0	0	0	0	0	0	
@11FD [4605]	0	1184	704	0	9D07	9CC9	1	5	60	0	0	0	0	0	0	0	
@11FE [4606]	0	704	848	0	9CF0	9CAA	1	5	11	0	0	0	0	0	0	0	
@11FF [4607]	0	560	552	0	9CF3	9CAA	1	5	11	0	0	0	0	0	0	0	
@1200 [4608]	0	384	320	0	9CF6	9CAA	1	5	11	0	0	0	0	0	0	0	
@1201 [4609]	0	1296	280	0	9CED	9CC9	1	5	462	0	0	0	0	0	0	0	
@1202 [4610]	0	1840	568	0	9CF0	9CC9	1	5	60	0	0	0	0	0	0	0	
@1203 [4611]	0	1648	664	0	9CE7	9CA4	1	5	473	2	0	0	0	0	0	0	
@1204 [4612]	0	272	152	0	9CE4	9CA4	1	5	473	2	0	0	0	0	0	0	
