场景号	地图号	进入脚本	传送脚本
#00FB [251]	198	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@1205 [4613]	0	992	1472	0	9148	0000	1	5	0	0	0	0	0	0	0	0	
@1206 [4614]	0	1488	1528	0	9150	0000	1	5	0	0	0	0	0	0	0	0	
@1207 [4615]	0	1280	1328	0	9158	0000	1	5	0	0	0	0	0	0	0	0	
@1208 [4616]	0	1600	1488	0	9160	0000	1	5	0	0	0	0	0	0	0	0	
@1209 [4617]	0	1312	1440	0	9168	0000	1	5	0	0	0	0	0	0	0	0	
@120A [4618]	0	1440	1408	0	9170	0000	1	5	0	0	0	0	0	0	0	0	
@120B [4619]	0	992	1696	0	9183	0000	1	5	0	0	0	0	0	0	0	0	
@120C [4620]	0	1248	1456	0	0021	0000	1	4	0	0	0	0	0	0	0	0	
@120D [4621]	0	1168	1368	0	003C	0000	1	4	0	0	0	0	0	0	0	0	
@120E [4622]	0	1040	1624	0	9289	0000	2	2	536	3	1	0	0	0	0	0	
