场景号	地图号	进入脚本	传送脚本
#00FE [254]	13	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@121B [4635]	0	192	1680	0	91A3	0000	1	6	0	0	0	0	0	0	0	0	
@121C [4636]	0	416	1328	0	91B7	0000	1	5	0	0	0	0	0	0	0	0	
@121D [4637]	0	672	1232	0	91AF	0000	1	5	0	0	0	0	0	0	0	0	
@121E [4638]	0	640	1680	0	91A7	0000	1	5	0	0	0	0	0	0	0	0	
@121F [4639]	0	1088	1472	-9	0000	0206	1	0	196	0	0	0	0	0	0	0	
@1220 [4640]	0	1056	1424	0	9484	0000	2	2	354	3	3	0	0	0	0	0	
@1221 [4641]	0	1056	1424	0	0000	0000	0	0	527	3	0	0	0	0	0	0	
@1222 [4642]	0	992	1408	0	0000	0000	0	0	527	3	1	0	0	0	0	0	
@1223 [4643]	0	1024	1408	0	0000	0000	0	0	526	3	0	0	0	0	0	0	
@1224 [4644]	0	1040	1416	0	0000	0000	0	0	553	3	0	0	0	0	0	0	
@1225 [4645]	0	768	1440	0	0000	9377	0	0	21	3	2	0	0	0	0	0	
