场景号	地图号	进入脚本	传送脚本
$0103 [259]	162	0E45	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#1233 [4659]	0	1568	384	0	94E5	0000	1	6	0	0	0	0	0	0	0	0
#1234 [4660]	0	1376	864	0	977C	0000	1	5	0	0	0	0	0	0	0	0
#1235 [4661]	0	544	816	0	0EC5	0000	2	0	546	0	0	0	0	0	0	0
#1236 [4662]	0	736	608	0	0EC5	0000	2	0	430	0	0	0	0	0	0	0
#1237 [4663]	0	336	568	0	0EC5	0000	2	0	429	0	0	0	0	0	0	0
#1238 [4664]	0	256	624	0	0EC5	0000	2	0	429	0	0	0	0	0	0	0
#1239 [4665]	0	944	728	0	0EC5	0000	2	0	546	0	0	0	0	0	0	0
#123A [4666]	0	656	824	0	0EC5	0000	2	0	430	0	0	0	0	0	0	0
#123B [4667]	0	688	728	0	0EC5	0000	2	0	429	0	0	0	0	0	0	0
#123C [4668]	0	1056	528	0	0EC5	0000	2	0	546	0	0	1	0	0	0	0
#123D [4669]	0	1104	744	0	0EC5	0000	2	0	546	0	0	0	0	0	0	0
#123E [4670]	0	464	584	0	0E9D	0449	2	6	594	0	0	0	0	0	0	0
#123F [4671]	0	416	608	0	0E9D	0449	2	6	598	0	0	0	0	0	0	0
#1240 [4672]	0	832	656	0	0E89	0449	2	6	593	0	0	0	0	0	0	0
#1241 [4673]	0	880	680	0	0E89	0449	2	6	597	0	0	0	0	0	0	0
#1242 [4674]	0	432	744	0	0000	043B	2	0	567	0	0	0	0	0	0	0
#1243 [4675]	0	400	760	0	0000	0449	2	0	598	0	0	0	0	0	0	0
#1244 [4676]	0	816	568	0	0E8D	043B	2	6	567	0	0	0	0	0	0	0
#1245 [4677]	0	752	584	0	0E8D	043B	2	6	600	0	0	0	0	0	0	0
#1246 [4678]	0	864	592	0	0E91	0449	2	6	593	0	0	0	0	0	0	0
#1247 [4679]	0	912	616	0	0E91	043B	2	6	599	0	0	0	0	0	0	0
#1248 [4680]	0	736	432	0	0000	043B	2	0	566	0	0	0	0	0	0	0
#1249 [4681]	0	800	448	0	0000	043B	2	0	599	0	0	0	0	0	0	0
#124A [4682]	0	1520	312	7	0000	043B	1	0	566	0	0	0	0	0	0	0
#124B [4683]	0	1552	328	7	0000	0449	1	0	597	0	0	0	0	0	0	0
#124C [4684]	0	1344	496	0	0E95	043B	2	6	567	0	0	0	0	0	0	0
#124D [4685]	0	1280	512	0	0E95	043B	2	6	600	0	0	0	0	0	0	0
#124E [4686]	0	1392	568	0	0E99	043B	2	6	566	0	0	0	0	0	0	0
#124F [4687]	0	1440	576	0	0E99	043B	2	6	599	0	0	0	0	0	0	0
#1250 [4688]	0	464	584	0	0EC8	0000	0	2	443	3	0	0	0	0	0	0
#1251 [4689]	0	416	608	0	0EC5	0000	0	1	546	0	0	1	0	0	0	0
#1252 [4690]	0	832	656	0	0ED2	0000	0	2	443	3	3	0	0	0	0	0
#1253 [4691]	0	880	680	0	0EC5	0000	0	1	546	0	0	0	0	0	0	0
#1254 [4692]	0	816	568	0	0ED2	0000	0	2	443	3	0	0	0	0	0	0
#1255 [4693]	0	752	584	0	0EC5	0000	0	1	546	0	0	0	0	0	0	0
#1256 [4694]	0	864	592	0	0ED2	0000	0	2	443	3	3	0	0	0	0	0
#1257 [4695]	0	912	616	0	0EC5	0000	0	1	546	0	0	1	0	0	0	0
#1258 [4696]	0	1344	496	0	0ECD	0000	0	2	443	3	0	0	0	0	0	0
#1259 [4697]	0	1280	512	0	0EC5	0000	0	1	546	0	0	0	0	0	0	0
#125A [4698]	0	1392	568	0	0ED2	0000	0	2	443	3	3	0	0	0	0	0
#125B [4699]	0	1440	576	0	0EC5	0000	0	1	546	0	0	1	0	0	0	0
#125C [4700]	0	1104	584	0	A08B	9CB6	2	6	548	3	0	0	0	0	0	0
#125D [4701]	0	1104	712	0	9FFF	9CB6	2	6	548	3	0	0	0	0	0	0
#125E [4702]	0	0	0	0	0000	0C3E	1	0	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
