场景号	地图号	进入脚本	传送脚本
$001A [026]	36	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#01F5 [501]	0	512	1088	0	2B35	0000	1	5	0	0	0	0	0	0	0	0
#01F6 [502]	0	1376	416	0	2B39	0000	1	5	0	0	0	0	0	0	0	0
#01F7 [503]	0	576	496	0	2B3D	0000	1	5	0	0	0	0	0	0	0	0
#01F8 [504]	0	624	408	0	2C62	0000	0	0	57	0	0	0	0	0	0	0
#01F9 [505]	0	592	408	0	2C62	0000	0	0	0	0	0	0	0	0	0	0
#01FA [506]	0	608	368	5	0000	2DD3	0	0	235	0	0	0	0	0	0	0
#01FB [507]	0	640	400	0	0000	0000	0	0	237	0	0	0	0	0	0	0
#01FC [508]	0	640	320	0	2C72	0000	0	2	239	0	0	0	0	0	0	0
#01FD [509]	0	640	320	0	0000	0000	0	0	244	0	0	1	0	0	0	0
#01FE [510]	0	640	464	0	0000	0000	0	0	405	3	1	0	0	0	0	0
#01FF [511]	0	1616	328	0	0000	0008	2	2	95	3	2	0	0	0	0	0
#0200 [512]	0	720	1032	0	0000	0000	2	2	408	1	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
