场景号	地图号	进入脚本	传送脚本
$0105 [261]	162	95B1	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#12A7 [4775]	0	1648	296	0	0000	043B	1	0	567	0	0	0	0	0	0	0
#12A8 [4776]	0	1600	320	0	0000	0449	1	0	598	0	0	0	0	0	0	0
#12A9 [4777]	0	1520	408	0	0000	043B	1	0	567	0	0	0	0	0	0	0
#12AA [4778]	0	1472	432	0	0000	0449	1	0	598	0	0	0	0	0	0	0
#12AB [4779]	0	1504	288	0	0000	043B	1	0	566	0	0	0	0	0	0	0
#12AC [4780]	0	1552	312	0	0000	0449	1	0	597	0	0	0	0	0	0	0
#12AD [4781]	0	1648	296	0	0000	965D	0	0	443	3	0	0	0	0	0	0
#12AE [4782]	0	1600	320	0	0000	965D	0	0	544	3	2	0	0	0	0	0
#12AF [4783]	0	1520	408	0	0000	965D	0	0	443	3	0	0	0	0	0	0
#12B0 [4784]	0	1472	432	0	0000	965D	0	0	544	3	2	0	0	0	0	0
#12B1 [4785]	0	1504	288	0	0000	965D	0	0	443	3	3	0	0	0	0	0
#12B2 [4786]	0	1552	312	0	0000	965D	0	0	544	3	1	0	0	0	0	0
#12B3 [4787]	0	1536	432	10	0000	0005	0	0	610	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
