场景号	地图号	进入脚本	传送脚本
#0106 [262]	173	95AB	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@12B4 [4788]	0	768	1264	0	0000	0455	1	0	606	0	0	0	0	0	0	0	
@12B5 [4789]	0	720	1272	0	0000	0455	1	0	605	0	0	0	0	0	0	0	
@12B6 [4790]	0	688	1304	0	0000	0455	1	0	605	0	0	0	0	0	0	0	
@12B7 [4791]	0	720	1336	0	0000	0455	1	0	606	0	0	0	0	0	0	0	
@12B8 [4792]	0	784	1368	0	0000	0455	1	0	605	0	0	0	0	0	0	0	
@12B9 [4793]	0	848	1384	0	0000	0455	1	0	606	0	0	0	0	0	0	0	
@12BA [4794]	0	928	1376	0	0000	0455	1	0	606	0	0	0	0	0	0	0	
@12BB [4795]	0	928	1344	0	0000	0455	1	0	605	0	0	0	0	0	0	0	
@12BC [4796]	0	656	1336	0	0000	0455	1	0	606	0	0	0	0	0	0	0	
@12BD [4797]	0	720	1368	0	0000	0455	1	0	605	0	0	0	0	0	0	0	
@12BE [4798]	0	784	1400	0	0000	0455	1	0	606	0	0	0	0	0	0	0	
@12BF [4799]	0	768	1264	0	0000	965D	0	0	198	3	3	0	0	0	0	0	
@12C0 [4800]	0	720	1272	0	0000	965D	0	0	198	3	1	0	0	0	0	0	
@12C1 [4801]	0	688	1304	0	0000	965D	0	0	198	3	0	0	0	0	0	0	
@12C2 [4802]	0	720	1336	0	0000	965D	0	0	198	3	2	0	0	0	0	0	
@12C3 [4803]	0	784	1368	0	0000	965D	0	0	198	3	3	0	0	0	0	0	
@12C4 [4804]	0	848	1384	0	0000	965D	0	0	198	3	2	0	0	0	0	0	
@12C5 [4805]	0	928	1376	0	0000	965D	0	0	198	3	1	0	0	0	0	0	
@12C6 [4806]	0	928	1344	0	0000	965D	0	0	198	3	0	0	0	0	0	0	
@12C7 [4807]	0	656	1336	0	0000	965D	0	0	198	3	2	0	0	0	0	0	
@12C8 [4808]	0	720	1368	0	0000	965D	0	0	198	3	3	0	0	0	0	0	
@12C9 [4809]	0	784	1400	0	0000	965D	0	0	198	3	1	0	0	0	0	0	
@12CA [4810]	0	768	1344	-3	0000	9772	0	0	486	0	0	0	0	0	0	0	
@12CB [4811]	0	832	1312	0	0000	0000	1	0	24	3	2	0	0	0	0	0	
