场景号	地图号	进入脚本	传送脚本
$0107 [263]	173	95AB	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#12CC [4812]	0	432	1336	0	9501	0000	1	7	0	0	0	0	0	0	0	0
#12CD [4813]	0	1376	704	0	9505	0000	1	7	0	0	0	0	0	0	0	0
#12CE [4814]	0	1184	768	0	0E80	0000	2	2	567	0	0	0	0	0	0	0
#12CF [4815]	0	1216	768	0	0E80	0000	2	2	567	0	0	0	0	0	0	0
#12D0 [4816]	0	1296	808	0	0E80	0000	2	2	567	0	0	0	0	0	0	0
#12D1 [4817]	0	1264	840	0	0E80	0000	2	2	567	0	0	0	0	0	0	0
#12D2 [4818]	0	1120	784	0	0E80	0000	2	2	594	0	0	2	0	0	0	0
#12D3 [4819]	0	1264	856	0	0E80	0000	2	2	594	0	0	2	0	0	0	0
#12D4 [4820]	0	832	944	0	0E80	0000	2	2	567	0	0	1	0	0	0	0
#12D5 [4821]	0	800	944	0	0E80	0000	2	2	594	0	0	2	0	0	0	0
#12D6 [4822]	0	976	1016	0	0E80	0000	2	2	593	0	0	2	0	0	0	0
#12D7 [4823]	0	944	1016	0	0E80	0000	2	2	443	3	0	0	0	0	0	0
#12D8 [4824]	0	896	992	0	0E80	0000	2	2	567	0	0	0	0	0	0	0
#12D9 [4825]	0	848	968	0	0E80	0000	2	2	567	0	0	0	0	0	0	0
#12DA [4826]	0	608	1104	0	0E80	95A3	2	2	443	3	0	0	0	0	0	0
#12DB [4827]	0	1024	976	0	0E80	0000	2	2	593	0	0	2	0	0	0	0
#12DC [4828]	0	944	872	0	0E80	0000	2	2	594	0	0	2	0	0	0	0
#12DD [4829]	0	944	824	0	0E80	0000	2	2	567	0	0	0	0	0	0	0
#12DE [4830]	0	1040	808	0	0E80	0000	2	2	594	0	0	0	0	0	0	0
#12DF [4831]	0	1184	896	0	0E80	0000	2	2	566	0	0	0	0	0	0	0
#12E0 [4832]	0	1232	872	0	0E80	0000	2	2	594	0	0	2	0	0	0	0
#12E1 [4833]	0	1280	720	0	0E80	000B	2	2	443	3	0	0	0	0	0	0
#12E2 [4834]	0	1104	936	0	0E80	0000	2	2	422	0	0	0	0	0	0	0
#12E3 [4835]	0	1248	784	0	0E83	000B	2	2	26	3	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
