场景号	地图号	进入脚本	传送脚本
#001B [027]	27	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0201 [513]	0	1472	496	0	2B41	0000	1	5	0	0	0	0	0	0	0	0	
@0202 [514]	0	1312	576	0	2B45	0000	1	5	0	0	0	0	0	0	0	0	
@0203 [515]	0	1152	656	0	2B49	0000	1	5	0	0	0	0	0	0	0	0	
@0204 [516]	0	1536	432	0	2D7F	0000	1	1	0	0	0	0	0	0	0	0	
@0205 [517]	0	1280	384	0	0000	0000	2	2	111	1	1	0	0	0	0	0	
@0206 [518]	0	1296	520	0	0000	0002	2	2	402	0	0	0	0	0	0	0	
@0207 [519]	0	1184	464	0	0000	0000	2	2	104	1	0	0	0	0	0	0	
@0208 [520]	0	1152	480	0	0000	0000	2	2	102	1	2	0	0	0	0	0	
@0209 [521]	0	1408	384	0	0000	0000	2	2	131	1	0	0	0	0	0	0	
@020A [522]	0	1088	576	0	0000	2DEB	2	2	6	3	1	0	0	0	0	0	
@020B [523]	0	960	560	0	0000	0000	2	2	100	1	0	0	0	0	0	0	
