场景号	地图号	进入脚本	传送脚本
#0112 [274]	165	95E8	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@134A [4938]	0	1504	1696	0	0000	043B	1	0	566	0	0	0	0	0	0	0	
@134B [4939]	0	1552	1720	0	0000	0449	1	0	597	0	0	0	0	0	0	0	
@134C [4940]	0	1488	1800	0	0000	043B	1	0	567	0	0	0	0	0	0	0	
@134D [4941]	0	1424	1816	0	0000	0449	1	0	598	0	0	0	0	0	0	0	
@134E [4942]	0	1280	1744	0	0000	0449	1	0	597	0	0	0	0	0	0	0	
@134F [4943]	0	1376	1712	0	0000	0000	1	0	546	0	0	1	0	0	0	0	
@1350 [4944]	0	1312	1728	0	0000	0000	1	0	429	0	0	0	0	0	0	0	
@1351 [4945]	0	1472	1680	0	0000	0000	1	0	430	0	0	0	0	0	0	0	
@1352 [4946]	0	1376	1712	0	0000	0000	1	0	546	0	0	1	0	0	0	0	
@1353 [4947]	0	1312	1728	0	0000	0000	1	0	429	0	0	0	0	0	0	0	
@1354 [4948]	0	1472	1680	0	0000	0000	1	0	430	0	0	0	0	0	0	0	
@1355 [4949]	0	1504	1696	0	0000	965D	0	0	443	3	3	0	0	0	0	0	
@1356 [4950]	0	1552	1720	0	0000	965D	0	0	544	3	1	0	0	0	0	0	
@1357 [4951]	0	1488	1800	0	0000	965D	0	0	443	3	0	0	0	0	0	0	
@1358 [4952]	0	1424	1816	0	0000	965D	0	0	544	3	2	0	0	0	0	0	
@1359 [4953]	0	1280	1744	0	0000	965D	0	0	544	3	1	0	0	0	0	0	
@135A [4954]	0	1408	1808	10	0000	0005	1	0	610	0	0	0	0	0	0	0	
