场景号	地图号	进入脚本	传送脚本
#0114 [276]	182	105A	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@136E [4974]	0	1280	736	0	0000	0000	1	0	24	3	0	0	0	0	0	0	
@136F [4975]	0	1296	776	0	0000	0000	1	0	26	3	0	0	0	0	0	0	
@1370 [4976]	0	1184	768	0	0000	0000	1	0	430	0	0	0	0	0	0	0	
@1371 [4977]	0	1248	816	0	0000	0000	1	0	429	0	0	0	0	0	0	0	
@1372 [4978]	0	1200	824	0	0000	0000	1	0	594	0	0	0	0	0	0	0	
@1373 [4979]	0	1168	792	0	0000	0000	1	0	594	0	0	2	0	0	0	0	
@1374 [4980]	0	880	968	0	0000	965D	0	0	562	3	2	0	0	0	0	0	
@1375 [4981]	0	976	872	0	0000	964C	0	0	544	3	0	0	0	0	0	0	
@1376 [4982]	0	992	944	0	0000	964C	0	0	544	3	0	0	0	0	0	0	
@1377 [4983]	0	864	1024	0	0000	9651	0	0	544	3	2	0	0	0	0	0	
@1378 [4984]	0	752	1000	0	0000	9654	0	0	544	3	3	0	0	0	0	0	
@1379 [4985]	0	1056	864	0	0000	964C	0	0	544	3	3	0	0	0	0	0	
@137A [4986]	0	1088	912	0	0000	964C	0	0	544	3	3	0	0	0	0	0	
@137B [4987]	0	928	1040	0	0000	9657	0	0	544	3	3	0	0	0	0	0	
@137C [4988]	0	768	1056	0	0000	965A	0	0	544	3	3	0	0	0	0	0	
@137D [4989]	0	1248	816	10	0000	0005	1	0	610	0	0	0	0	0	0	0	
@137E [4990]	0	832	1056	10	0000	0005	1	0	610	0	0	0	0	0	0	0	
