场景号	地图号	进入脚本	传送脚本
#0116 [278]	210	0F8A	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@1381 [4993]	0	656	1720	0	0F66	0000	1	5	0	0	0	0	0	0	0	0	
@1382 [4994]	0	240	1480	0	0F6E	0000	1	5	0	0	0	0	0	0	0	0	
@1383 [4995]	0	1376	1136	0	0000	0000	0	0	400	1	2	0	0	0	0	0	
@1384 [4996]	0	1504	1040	0	0000	0000	1	0	565	0	0	0	0	0	0	0	
@1385 [4997]	0	1488	1048	0	0000	105E	0	0	564	3	0	0	0	0	0	0	
@1386 [4998]	0	1424	1096	0	0F8D	0000	1	5	0	0	0	0	0	0	0	0	
@1387 [4999]	0	1232	1192	0	0000	1061	0	0	562	3	2	0	0	0	0	0	
@1388 [5000]	0	1200	1176	0	0000	1063	0	0	544	3	2	0	0	0	0	0	
@1389 [5001]	0	1264	1208	0	0000	1066	0	0	544	3	2	0	0	0	0	0	
@138A [5002]	0	1408	1136	0	0000	0000	0	0	397	1	2	0	0	0	0	0	
@138B [5003]	0	1376	1120	0	0000	0000	0	0	5	3	2	0	0	0	0	0	
@138C [5004]	0	1408	1104	0	0000	1069	0	0	38	3	2	0	0	0	0	0	
@138D [5005]	0	1392	1128	0	1084	0000	0	2	629	0	0	0	0	0	0	0	
