场景号	地图号	进入脚本	传送脚本
$0117 [279]	210	0F8A	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#138E [5006]	0	1760	1600	0	0F36	0000	1	5	0	0	0	0	0	0	0	0
#138F [5007]	0	752	632	0	0F3A	0000	1	5	0	0	0	0	0	0	0	0
#1390 [5008]	0	992	752	0	0F42	0000	1	5	0	0	0	0	0	0	0	0
#1391 [5009]	0	1472	656	0	0F86	0000	1	5	0	0	0	0	0	0	0	0
#1392 [5010]	0	1584	1304	0	A069	9CB3	2	5	548	3	0	0	0	0	0	0
#1393 [5011]	0	832	1024	0	A05B	0000	2	5	492	3	0	0	0	0	0	0
#1394 [5012]	0	1056	1056	0	A039	9CB3	2	5	549	3	0	0	0	0	0	0
#1395 [5013]	0	608	1376	0	A049	9CB3	2	5	492	3	0	0	0	0	0	0
#1396 [5014]	0	800	1392	0	A061	9CB3	2	5	492	3	0	0	0	0	0	0
#1397 [5015]	0	752	1272	0	A041	9CB3	2	5	549	3	0	0	0	0	0	0
#1398 [5016]	0	736	1312	0	A063	9CB3	2	5	549	3	0	0	0	0	0	0
#1399 [5017]	0	624	1320	0	A067	9CB3	2	5	548	3	0	0	0	0	0	0
#139A [5018]	0	1040	1800	0	A05B	9CB3	2	5	492	3	0	0	0	0	0	0
#139B [5019]	0	1088	1744	0	A05B	0000	2	5	548	3	0	0	0	0	0	0
#139C [5020]	0	1120	1712	0	A03F	0000	2	5	549	3	0	0	0	0	0	0
#139D [5021]	0	896	1744	0	A05B	9CB3	2	5	492	3	0	0	0	0	0	0
#139E [5022]	0	256	1056	0	A03B	9CB3	2	5	549	3	0	0	0	0	0	0
#139F [5023]	0	368	1016	0	A067	9CB3	2	5	549	3	0	0	0	0	0	0
#13A0 [5024]	0	480	1104	0	A031	9CB3	2	5	549	3	0	0	0	0	0	0
#13A1 [5025]	0	688	680	0	A061	0000	2	5	492	3	0	0	0	0	0	0
#13A2 [5026]	0	736	736	0	A039	9CB3	2	5	549	3	0	0	0	0	0	0
#13A3 [5027]	0	640	768	0	A063	9CB3	2	5	549	3	0	0	0	0	0	0
#13A4 [5028]	0	752	744	0	A039	9CB3	2	5	548	3	0	0	0	0	0	0
#13A5 [5029]	0	1008	936	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0
#13A6 [5030]	0	656	1224	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0
#13A7 [5031]	0	1648	1448	6	0000	0005	1	0	619	0	0	5	0	0	0	0
#13A8 [5032]	0	1520	1512	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13A9 [5033]	0	816	1704	6	0000	0005	1	0	619	0	0	4	0	0	0	0
#13AA [5034]	0	928	1312	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13AB [5035]	0	528	1336	6	0000	0005	1	0	619	0	0	3	0	0	0	0
#13AC [5036]	0	592	1048	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13AD [5037]	0	368	936	6	0000	0005	1	0	619	0	0	5	0	0	0	0
#13AE [5038]	0	816	824	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13AF [5039]	0	544	688	6	0000	0005	1	0	619	0	0	5	0	0	0	0
#13B0 [5040]	0	1472	752	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13B1 [5041]	0	1248	640	6	0000	0005	1	0	619	0	0	3	0	0	0	0
#13B2 [5042]	0	1616	1496	0	0945	0000	2	1	10	0	0	0	0	0	0	0
#13B3 [5043]	0	1568	1520	0	094B	0000	2	1	10	0	0	0	0	0	0	0
#13B4 [5044]	0	928	1040	0	0951	0000	2	1	10	0	0	0	0	0	0	0
#13B5 [5045]	0	576	1344	0	0999	0000	2	1	10	0	0	0	0	0	0	0
#13B6 [5046]	0	880	1368	0	099F	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
