场景号	地图号	进入脚本	传送脚本
#001C [028]	28	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@020C [524]	0	1040	840	0	2AB8	0000	1	5	0	0	0	0	0	0	0	0	
@020D [525]	0	944	792	0	2B9D	2DDA	1	7	234	0	0	0	0	0	0	0	
@020E [526]	0	1072	760	0	0000	000B	2	3	90	1	0	0	0	0	0	0	
@020F [527]	0	656	728	0	0000	0000	2	2	106	1	2	0	0	0	0	0	
@0210 [528]	0	720	664	0	0000	0000	2	2	34	0	0	0	0	0	0	0	
@0211 [529]	0	736	704	0	0000	0000	2	2	407	1	1	0	0	0	0	0	
@0212 [530]	0	704	720	0	0000	0000	2	2	40	1	2	0	0	0	0	0	
@0213 [531]	0	656	680	0	0000	0000	2	2	100	1	3	0	0	0	0	0	
@0214 [532]	0	944	680	0	0000	0000	2	2	407	1	0	0	0	0	0	0	
@0215 [533]	0	832	704	0	0000	0000	2	2	33	3	3	0	0	0	0	0	
@0216 [534]	0	848	824	0	0000	0000	2	2	14	3	2	0	0	0	0	0	
