场景号	地图号	进入脚本	传送脚本
$011D [285]	203	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#13C7 [5063]	0	304	680	0	0EF2	0000	1	5	0	0	0	0	0	0	0	0
#13C8 [5064]	0	1040	696	0	106F	0000	1	5	0	0	0	0	0	0	0	0
#13C9 [5065]	0	1040	712	-9	0000	0000	1	0	614	0	0	0	0	0	0	0
#13CA [5066]	0	816	488	0	0EFA	0000	1	6	0	0	0	0	0	0	0	0
#13CB [5067]	0	624	584	0	0F02	0000	1	6	0	0	0	0	0	0	0	0
#13CC [5068]	0	1216	480	0	0F0A	0000	1	6	0	0	0	0	0	0	0	0
#13CD [5069]	0	1440	592	0	0F12	0000	1	6	0	0	0	0	0	0	0	0
#13CE [5070]	0	1664	704	0	0F16	0000	1	6	0	0	0	0	0	0	0	0
#13CF [5071]	0	1040	456	0	A005	9CB3	2	5	549	3	0	0	0	0	0	0
#13D0 [5072]	0	1648	840	0	9FFB	9CB3	2	5	548	3	0	0	0	0	0	0
#13D1 [5073]	0	928	704	0	9FF9	9CB3	2	5	548	3	0	0	0	0	0	0
#13D2 [5074]	0	1136	696	0	9FFF	9CB3	2	5	549	3	0	0	0	0	0	0
#13D3 [5075]	0	1408	896	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0
#13D4 [5076]	0	224	688	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13D5 [5077]	0	592	616	6	0000	0005	1	0	619	0	0	5	0	0	0	0
#13D6 [5078]	0	784	520	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13D7 [5079]	0	1104	440	6	0000	0005	1	0	619	0	0	4	0	0	0	0
#13D8 [5080]	0	1328	552	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13D9 [5081]	0	1552	664	6	0000	0005	1	0	619	0	0	5	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
