场景号	地图号	进入脚本	传送脚本
$011E [286]	204	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#13DA [5082]	0	1648	1608	0	0EFE	0000	1	5	0	0	0	0	0	0	0	0
#13DB [5083]	0	1360	1752	0	0F06	0000	1	5	0	0	0	0	0	0	0	0
#13DC [5084]	0	624	728	0	0F0E	0000	1	5	0	0	0	0	0	0	0	0
#13DD [5085]	0	1104	1080	0	0F1A	0000	1	5	0	0	0	0	0	0	0	0
#13DE [5086]	0	1392	1656	0	A03F	9CB3	2	5	549	3	0	0	0	0	0	0
#13DF [5087]	0	1488	1560	0	A031	9CB3	2	5	548	3	0	0	0	0	0	0
#13E0 [5088]	0	1152	800	0	A065	9CB3	2	5	549	3	0	0	0	0	0	0
#13E1 [5089]	0	1168	680	0	A049	9CB3	2	5	492	3	0	0	0	0	0	0
#13E2 [5090]	0	1040	696	0	A03B	9CB3	2	5	548	3	0	0	0	0	0	0
#13E3 [5091]	0	1024	752	0	A02D	9CB3	2	5	548	3	0	0	0	0	0	0
#13E4 [5092]	0	1792	720	0	9FF7	9CB3	2	5	549	3	0	0	0	0	0	0
#13E5 [5093]	0	1712	664	0	A02F	9CB3	2	5	549	3	0	0	0	0	0	0
#13E6 [5094]	0	1632	640	0	9FFF	9CB3	2	5	549	3	0	0	0	0	0	0
#13E7 [5095]	0	1184	400	0	A04B	9CB3	2	5	492	3	0	0	0	0	0	0
#13E8 [5096]	0	1104	424	0	9FF9	9CB3	2	5	548	3	0	0	0	0	0	0
#13E9 [5097]	0	1088	464	0	A037	9CB3	2	5	548	3	0	0	0	0	0	0
#13EA [5098]	0	640	624	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13EB [5099]	0	880	840	0	A538	0000	1	5	0	0	0	0	0	0	0	0
#13EC [5100]	0	1840	696	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#13ED [5101]	0	1248	704	0	07E9	0000	2	1	10	0	0	0	0	0	0	0
#13EE [5102]	0	1152	656	0	07A7	0000	2	1	10	0	0	0	0	0	0	0
#13EF [5103]	0	1808	712	0	0801	0000	2	1	10	0	0	0	0	0	0	0
#13F0 [5104]	0	1200	408	0	0789	0000	2	1	10	0	0	0	0	0	0	0
#13F1 [5105]	0	1312	1552	0	0795	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
