场景号	地图号	进入脚本	传送脚本
$011F [287]	205	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#13F2 [5106]	0	464	1480	0	0F1E	0000	1	5	0	0	0	0	0	0	0	0
#13F3 [5107]	0	864	928	0	0F22	0000	1	5	0	0	0	0	0	0	0	0
#13F4 [5108]	0	1184	928	0	0F2A	0000	1	5	0	0	0	0	0	0	0	0
#13F5 [5109]	0	640	1504	0	9FFD	9CB3	2	5	549	3	0	0	0	0	0	0
#13F6 [5110]	0	592	1464	0	A043	9CB3	2	5	492	3	0	0	0	0	0	0
#13F7 [5111]	0	496	1576	0	A033	9CB3	2	5	548	3	0	0	0	0	0	0
#13F8 [5112]	0	496	1416	0	A005	9CB3	2	5	548	3	0	0	0	0	0	0
#13F9 [5113]	0	336	1464	0	A02D	9CB3	2	5	549	3	0	0	0	0	0	0
#13FA [5114]	0	304	1512	0	A04D	9CB3	2	5	492	3	0	0	0	0	0	0
#13FB [5115]	0	688	1384	0	A031	9CB3	2	5	549	3	0	0	0	0	0	0
#13FC [5116]	0	1168	1000	0	A061	9CB3	2	5	492	3	0	0	0	0	0	0
#13FD [5117]	0	1104	1096	0	A003	9CB3	2	5	548	3	0	0	0	0	0	0
#13FE [5118]	0	1024	1072	0	A053	9CB3	2	5	492	3	0	0	0	0	0	0
#13FF [5119]	0	1088	928	0	A001	9CB3	2	5	548	3	0	0	0	0	0	0
#1400 [5120]	0	1056	1008	0	A039	9CB3	2	5	548	3	0	0	0	0	0	0
#1401 [5121]	0	880	1016	0	A03B	9CB3	2	5	549	3	0	0	0	0	0	0
#1402 [5122]	0	1008	1112	6	0000	0005	1	0	619	0	0	3	0	0	0	0
#1403 [5123]	0	1024	864	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#1404 [5124]	0	1232	1000	0	07AD	0000	2	1	10	0	0	0	0	0	0	0
#1405 [5125]	0	1056	912	0	07AD	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
