场景号	地图号	进入脚本	传送脚本
#0122 [290]	190	0ED4	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@145B [5211]	0	560	888	0	0F3E	0000	1	5	0	0	0	0	0	0	0	0	
@145C [5212]	0	1056	1136	0	0F46	0000	1	5	0	0	0	0	0	0	0	0	
@145D [5213]	0	816	680	6	0000	0005	1	0	619	0	0	1	0	0	0	0	
@145E [5214]	0	1408	976	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@145F [5215]	0	1680	632	6	0000	0005	1	0	619	0	0	5	0	0	0	0	
@1460 [5216]	0	1472	528	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@1461 [5217]	0	1328	600	6	0000	0005	1	0	619	0	0	5	0	0	0	0	
@1462 [5218]	0	1536	704	6	0000	0005	1	0	619	0	0	0	0	0	0	0	
@1463 [5219]	0	1504	640	3	0663	0000	2	2	389	0	0	0	0	0	0	0	
@1464 [5220]	0	1024	816	0	057F	0000	2	1	389	0	0	0	0	0	0	0	
@1465 [5221]	0	1376	992	0	058B	0000	2	1	389	0	0	0	0	0	0	0	
