场景号	地图号	进入脚本	传送脚本
#0123 [291]	191	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@1466 [5222]	0	1856	528	0	0ED9	0000	1	5	0	0	0	0	0	0	0	0	
@1467 [5223]	0	448	1200	0	A043	9CC9	2	5	492	3	0	0	0	0	0	0	
@1468 [5224]	0	752	1416	0	9AC1	9772	0	5	486	0	0	0	0	0	0	0	
@1469 [5225]	0	672	1456	0	2DF6	0000	1	5	0	0	0	0	0	0	0	0	
@146A [5226]	0	1520	1400	0	9F83	9CC9	2	5	492	3	0	0	0	0	0	0	
@146B [5227]	0	1232	1304	0	9F85	9CC9	2	5	492	3	0	0	0	0	0	0	
@146C [5228]	0	1152	1264	0	9F83	9CC9	2	5	492	3	0	0	0	0	0	0	
@146D [5229]	0	864	1216	0	A04F	9CB3	2	5	492	3	0	0	0	0	0	0	
@146E [5230]	0	688	984	0	A04D	9CB3	2	5	492	3	0	0	0	0	0	0	
@146F [5231]	0	816	920	0	A04D	9CB3	2	5	492	3	0	0	0	0	0	0	
@1470 [5232]	0	1136	856	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@1471 [5233]	0	736	768	0	A051	0002	2	5	492	3	0	0	0	0	0	0	
@1472 [5234]	0	1600	992	0	A047	9CC9	2	5	492	3	0	0	0	0	0	0	
@1473 [5235]	0	1232	776	0	A047	9CC9	2	5	492	3	0	0	0	0	0	0	
@1474 [5236]	0	816	600	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@1475 [5237]	0	1152	688	0	A04B	9CC9	2	5	492	3	0	0	0	0	0	0	
@1476 [5238]	0	1728	832	0	A04B	9CB3	2	5	492	3	0	0	0	0	0	0	
@1477 [5239]	0	1744	856	0	A049	9CAA	2	5	492	3	0	0	0	0	0	0	
@1478 [5240]	0	1744	792	0	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@1479 [5241]	0	240	296	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@147A [5242]	0	688	424	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@147B [5243]	0	1232	344	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@147C [5244]	0	1216	432	0	A059	0002	2	5	625	2	0	0	0	0	0	0	
@147D [5245]	0	1280	448	0	A057	9CB3	2	5	626	2	0	0	0	0	0	0	
@147E [5246]	0	1712	680	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@147F [5247]	0	176	760	0	0669	0000	2	1	10	0	0	0	0	0	0	0	
@1480 [5248]	0	1248	768	0	0609	0000	2	1	10	0	0	0	0	0	0	0	
@1481 [5249]	0	1824	896	0	0567	0000	2	1	10	0	0	0	0	0	0	0	
@1482 [5250]	0	320	352	0	099F	0000	2	1	10	0	0	0	0	0	0	0	
