场景号	地图号	进入脚本	传送脚本
#0124 [292]	192	0ED6	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@1483 [5251]	0	176	1816	0	0EDD	0000	1	5	0	0	0	0	0	0	0	0	
@1484 [5252]	0	1840	552	0	0EE1	0000	1	5	0	0	0	0	0	0	0	0	
@1485 [5253]	0	336	1208	0	A051	9CB3	2	5	492	3	0	0	0	0	0	0	
@1486 [5254]	0	176	1616	0	9AC1	8F40	0	5	486	0	0	0	0	0	0	0	
@1487 [5255]	0	736	1264	0	A055	9CB3	2	5	492	3	0	0	0	0	0	0	
@1488 [5256]	0	880	968	0	A047	9CB3	2	5	492	3	0	0	0	0	0	0	
@1489 [5257]	0	704	848	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@148A [5258]	0	624	744	0	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@148B [5259]	0	1152	640	0	A061	9CB3	2	5	492	3	0	0	0	0	0	0	
@148C [5260]	0	976	488	0	A051	0002	2	5	492	3	0	0	0	0	0	0	
@148D [5261]	0	1312	416	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@148E [5262]	0	752	344	0	A04B	9CB3	2	5	492	3	0	0	0	0	0	0	
@148F [5263]	0	688	408	0	A05D	9CB3	2	5	492	3	0	0	0	0	0	0	
@1490 [5264]	0	1328	280	10	A045	9CA4	2	5	460	0	0	0	0	0	0	0	
@1491 [5265]	0	656	104	0	A059	9CB3	2	5	625	2	0	0	0	0	0	0	
@1492 [5266]	0	544	64	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0	
@1493 [5267]	0	960	256	0	A053	0002	2	5	492	3	0	0	0	0	0	0	
@1494 [5268]	0	1488	232	0	A05D	0002	2	5	492	3	0	0	0	0	0	0	
@1495 [5269]	0	1696	464	0	A04B	9CB3	2	5	492	3	0	0	0	0	0	0	
@1496 [5270]	0	1136	744	0	A05B	9CC9	2	5	492	3	0	0	0	0	0	0	
@1497 [5271]	0	1280	992	0	A04F	9CC9	2	5	492	3	0	0	0	0	0	0	
@1498 [5272]	0	960	1216	0	A051	9CB3	2	5	492	3	0	0	0	0	0	0	
@1499 [5273]	0	944	1272	0	A083	9CB3	2	5	492	3	0	0	0	0	0	0	
@149A [5274]	0	1584	984	0	A05B	9CB3	2	5	492	3	0	0	0	0	0	0	
@149B [5275]	0	1680	984	10	A045	9CAA	2	5	460	0	0	0	0	0	0	0	
@149C [5276]	0	1488	648	0	A043	9CC9	2	5	492	3	0	0	0	0	0	0	
@149D [5277]	0	1120	1472	0	A049	9CC9	2	5	492	3	0	0	0	0	0	0	
@149E [5278]	0	1136	1352	0	A059	9CC9	2	5	625	2	0	0	0	0	0	0	
@149F [5279]	0	1520	1448	0	A061	9CB3	2	5	492	3	0	0	0	0	0	0	
@14A0 [5280]	0	1440	1408	0	A083	9CB3	2	5	492	3	0	0	0	0	0	0	
@14A1 [5281]	0	1568	1360	10	A045	9CAA	2	5	460	0	0	0	0	0	0	0	
@14A2 [5282]	0	832	1760	0	A053	9CB3	2	5	492	3	0	0	0	0	0	0	
@14A3 [5283]	0	880	1768	0	A057	9CC9	2	5	626	2	0	0	0	0	0	0	
@14A4 [5284]	0	944	1720	0	A05B	9CC9	2	5	492	3	0	0	0	0	0	0	
@14A5 [5285]	0	672	1888	0	A061	9CC9	2	5	492	3	0	0	0	0	0	0	
@14A6 [5286]	0	432	1768	0	A049	9CB3	2	5	492	3	0	0	0	0	0	0	
@14A7 [5287]	0	1552	1592	0	9F6D	9CC9	2	5	492	3	0	0	0	0	0	0	
@14A8 [5288]	0	1536	1536	0	A059	9CB3	2	5	625	2	0	0	0	0	0	0	
@14A9 [5289]	0	1472	1568	0	A083	9CC9	2	5	492	3	0	0	0	0	0	0	
@14AA [5290]	0	1472	1664	0	9F83	9CC9	2	5	492	3	0	0	0	0	0	0	
@14AB [5291]	0	1744	1336	0	9F6D	0000	2	5	492	3	0	0	0	0	0	0	
@14AC [5292]	0	1776	1096	0	A083	9CB3	2	5	492	3	0	0	0	0	0	0	
@14AD [5293]	0	1888	1168	10	A045	9CAA	2	5	460	0	0	0	0	0	0	0	
@14AE [5294]	0	1904	712	10	A045	9CA4	2	5	460	0	0	0	0	0	0	0	
@14AF [5295]	0	1712	344	0	0585	0000	2	1	10	0	0	0	0	0	0	0	
@14B0 [5296]	0	368	632	0	0759	0000	2	1	10	0	0	0	0	0	0	0	
@14B1 [5297]	0	864	544	0	0735	0000	2	1	10	0	0	0	0	0	0	0	
@14B2 [5298]	0	1248	288	0	060F	0000	2	1	10	0	0	0	0	0	0	0	
@14B3 [5299]	0	864	1648	0	075F	0000	2	1	10	0	0	0	0	0	0	0	
@14B4 [5300]	0	1280	1232	0	073B	0000	2	1	10	0	0	0	0	0	0	0	
@14B5 [5301]	0	1808	504	0	0765	0000	2	1	10	0	0	0	0	0	0	0	
@14B6 [5302]	0	816	1512	0	0675	0000	2	1	10	0	0	0	0	0	0	0	
@14B7 [5303]	0	1312	1744	0	0795	0000	2	1	10	0	0	0	0	0	0	0	
@14B8 [5304]	0	752	904	0	0741	0000	2	1	10	0	0	0	0	0	0	0	
