场景号	地图号	进入脚本	传送脚本
$0125 [293]	192	0ED6	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#14B9 [5305]	0	208	1752	0	0EE5	0000	1	5	0	0	0	0	0	0	0	0
#14BA [5306]	0	304	280	0	0F82	0000	1	5	0	0	0	0	0	0	0	0
#14BB [5307]	0	752	1112	0	A083	9CC9	2	5	492	3	0	0	0	0	0	0
#14BC [5308]	0	656	1064	10	A045	9CA4	2	5	460	0	0	0	0	0	0	0
#14BD [5309]	0	1008	1080	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0
#14BE [5310]	0	1344	1216	10	A045	9CAA	2	5	460	0	0	0	0	0	0	0
#14BF [5311]	0	1488	1304	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0
#14C0 [5312]	0	1440	1328	10	A045	9CA4	2	5	460	0	0	0	0	0	0	0
#14C1 [5313]	0	1600	1168	0	A061	9CB3	2	5	492	3	0	0	0	0	0	0
#14C2 [5314]	0	1136	1032	0	A05B	9CC9	2	5	492	3	0	0	0	0	0	0
#14C3 [5315]	0	1280	1072	0	A059	9CB3	2	5	625	2	0	0	0	0	0	0
#14C4 [5316]	0	1296	984	10	A045	9CAA	2	5	460	0	0	0	0	0	0	0
#14C5 [5317]	0	1552	1048	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0
#14C6 [5318]	0	560	712	0	A083	9CC9	2	5	492	3	0	0	0	0	0	0
#14C7 [5319]	0	608	656	0	A05B	9CC9	2	5	492	3	0	0	0	0	0	0
#14C8 [5320]	0	512	896	0	A051	9CC9	2	5	492	3	0	0	0	0	0	0
#14C9 [5321]	0	592	968	0	A083	9CB3	2	5	492	3	0	0	0	0	0	0
#14CA [5322]	0	480	1024	10	A05D	9CAA	2	5	11	0	0	0	0	0	0	0
#14CB [5323]	0	864	1056	0	07B9	0000	2	1	10	0	0	0	0	0	0	0
#14CC [5324]	0	1664	704	0	066F	0000	2	1	10	0	0	0	0	0	0	0
#14CD [5325]	0	688	1000	0	078F	0000	2	1	10	0	0	0	0	0	0	0
#14CE [5326]	0	1024	224	0	0B34	0000	1	1	0	0	0	0	0	0	0	0
#14CF [5327]	0	816	232	0	0AB6	0000	1	1	0	0	0	0	0	0	0	0
#14D0 [5328]	0	848	248	0	0A86	0000	1	1	0	0	0	0	0	0	0	0
#14D1 [5329]	0	688	200	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#14D2 [5330]	0	688	344	0	0A5C	0000	1	1	0	0	0	0	0	0	0	0
#14D3 [5331]	0	208	1552	0	9AC1	8F40	0	5	486	0	0	0	0	0	0	0
#14D4 [5332]	0	368	248	0	0000	9772	0	0	486	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
