场景号	地图号	进入脚本	传送脚本
$0126 [294]	20	3BA1	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#14D5 [5333]	0	0	0	0	0000	0000	4	0	0	0	0	0	0	0	0	0
#14D6 [5334]	0	0	0	0	0000	0000	0	0	0	0	0	0	0	0	0	0
#14D7 [5335]	0	0	0	0	0000	0000	0	0	0	0	0	0	0	0	0	0
#14D8 [5336]	0	0	0	0	0000	0000	0	0	0	0	0	0	0	0	0	0
#14D9 [5337]	0	0	0	0	0000	0000	0	0	0	0	0	0	0	0	0	0
#14DA [5338]	0	0	0	0	0000	0000	0	0	0	0	0	0	0	0	0	0
#14DB [5339]	0	0	0	0	0000	0000	0	0	0	0	0	0	0	0	0	0
#14DC [5340]	0	0	0	0	0000	0000	0	0	0	0	0	0	0	0	0	0
#14DD [5341]	0	960	480	0	0000	0000	0	0	516	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
