场景号	地图号	进入脚本	传送脚本
#0003 [003]	1	0C4D	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@002D [45]	0	976	1704	0	17B1	0000	1	6	0	0	0	0	0	0	0	0	
@002E [46]	0	1472	1520	0	1233	0000	1	5	0	0	0	0	0	0	0	0	
@002F [47]	0	1248	1456	0	0021	0000	1	4	0	0	0	0	0	0	0	0	
@0030 [48]	0	1168	1368	0	003C	0000	1	4	0	0	0	0	0	0	0	0	
@0031 [49]	0	1280	1472	0	1852	0000	0	5	0	0	0	0	0	0	0	0	
@0032 [50]	0	1328	1448	0	116F	0000	1	5	0	0	0	0	0	0	0	0	
@0033 [51]	0	1616	1480	0	1177	0000	1	5	0	0	0	0	0	0	0	0	
@0034 [52]	0	1456	1400	0	1217	0000	1	5	0	0	0	0	0	0	0	0	
@0035 [53]	0	1296	1320	0	121F	0000	1	5	0	0	0	0	0	0	0	0	
@0036 [54]	0	992	1472	0	1227	0000	1	5	0	0	0	0	0	0	0	0	
@0037 [55]	0	1264	1336	0	0000	0000	1	0	54	0	0	0	0	0	0	0	
@0038 [56]	0	1280	1344	0	0000	0000	1	0	53	0	0	0	0	0	0	0	
@0039 [57]	0	1264	1352	0	125D	0000	2	6	21	3	1	0	0	0	0	0	
@003A [58]	0	0	0	0	0000	0000	0	0	215	0	0	0	0	0	0	0	
@003B [59]	0	0	0	0	0000	0000	0	0	214	0	0	0	0	0	0	0	
@003C [60]	0	1216	1344	0	12C8	0000	2	3	207	3	3	0	0	0	0	0	
@003D [61]	0	1184	1312	0	12CC	0000	2	3	29	3	0	0	0	0	0	0	
@003E [62]	0	1152	1344	0	12CF	0000	2	3	30	3	2	0	0	0	0	0	
@003F [63]	0	1024	1680	0	1399	141E	2	1	56	0	0	0	0	0	0	0	
@0040 [64]	0	1040	1688	0	0000	1396	2	0	0	0	0	0	0	0	0	0	
@0041 [65]	0	1008	1672	0	0000	1396	2	0	0	0	0	0	0	0	0	0	
@0042 [66]	0	976	1608	0	18E9	0000	1	1	0	0	0	0	0	0	0	0	
@0043 [67]	0	1568	1616	0	18EF	0000	1	1	0	0	0	0	0	0	0	0	
@0044 [68]	0	960	1568	0	0A6E	0000	1	1	0	0	0	0	0	0	0	0	
@0045 [69]	0	1120	1664	0	0000	0000	0	0	3	3	0	0	0	0	0	0	
@0046 [70]	0	1456	1528	0	0000	0000	1	0	54	0	0	1	0	0	0	0	
@0047 [71]	0	1296	1448	0	1FD2	0000	0	1	54	0	0	0	0	0	0	0	
@0048 [72]	0	1312	1456	0	1FD2	0000	0	1	53	0	0	0	0	0	0	0	
@0049 [73]	0	1584	1496	0	0000	0000	1	0	54	0	0	1	0	0	0	0	
@004A [74]	0	1424	1416	0	1FD5	0000	2	1	54	0	0	0	0	0	0	0	
@004B [75]	0	1440	1424	0	1FD5	0000	2	1	53	0	0	0	0	0	0	0	
@004C [76]	0	0	0	0	0000	0C30	0	0	0	0	0	0	0	0	0	0	
