场景号	地图号	进入脚本	传送脚本
$0022 [034]	32	314B	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#023B [571]	0	1472	1408	0	2F09	0000	1	5	0	0	0	0	0	0	0	0
#023C [572]	0	688	1128	0	2F0D	0000	1	5	0	0	0	0	0	0	0	0
#023D [573]	0	1216	1216	0	0000	0000	2	0	3	3	3	0	0	0	0	0
#023E [574]	0	1184	1264	0	325C	0000	2	2	247	1	2	0	0	0	0	0
#023F [575]	0	1184	1264	0	0000	0000	0	0	122	3	1	0	0	0	0	0
#0240 [576]	0	992	1264	0	32F8	0000	2	2	124	3	2	0	0	0	0	0
#0241 [577]	0	1344	1344	0	0000	323D	0	0	405	3	1	0	0	0	0	0
#0242 [578]	0	1104	1240	0	32FC	0000	2	2	147	3	3	0	0	0	0	0
#0243 [579]	0	1088	1248	0	32FC	0000	2	2	144	1	3	0	0	0	0	0
#0244 [580]	0	736	1072	0	0000	001D	1	0	9	0	1	0	0	0	0	0
#0245 [581]	0	1264	1176	0	0000	001E	1	0	9	0	1	0	0	0	0	0
#0246 [582]	0	992	1280	0	3477	34C8	0	2	148	3	3	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
