场景号	地图号	进入脚本	传送脚本
#0026 [038]	35	35F9	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@026D [621]	0	384	800	0	2F25	0000	1	5	0	0	0	0	0	0	0	0	
@026E [622]	0	1392	1176	0	2F29	0000	1	5	0	0	0	0	0	0	0	0	
@026F [623]	0	352	1360	0	2F2D	0000	1	5	0	0	0	0	0	0	0	0	
@0270 [624]	0	1552	1096	0	0000	348A	2	0	147	3	1	0	0	0	0	0	
@0271 [625]	0	1568	1088	0	0000	3489	2	0	143	3	1	0	0	0	0	0	
@0272 [626]	0	528	1320	4	0000	001C	1	0	9	0	1	0	0	0	0	0	
@0273 [627]	0	1376	1072	4	0000	001E	1	0	9	0	1	0	0	0	0	0	
@0274 [628]	0	1456	1000	0	0A1A	0000	1	1	0	0	0	0	0	0	0	0	
@0275 [629]	0	1536	992	0	0B6A	0000	1	1	0	0	0	0	0	0	0	0	
@0276 [630]	0	448	720	0	0A8C	0000	1	1	0	0	0	0	0	0	0	0	
@0277 [631]	0	512	1152	0	0B94	0000	1	1	0	0	0	0	0	0	0	0	
@0278 [632]	0	672	1200	0	0B58	0000	1	1	0	0	0	0	0	0	0	0	
