场景号	地图号	进入脚本	传送脚本
$0004 [004]	1	0C4D	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#004D [77]	0	1152	1664	0	148C	14A8	2	6	32	3	0	0	0	0	0	0
#004E [78]	0	992	1680	0	0000	0002	2	2	50	0	0	0	0	0	0	0
#004F [79]	0	976	1672	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0050 [80]	0	960	1664	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0051 [81]	0	944	1656	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0052 [82]	0	944	1672	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0053 [83]	0	1504	1760	0	15D9	0247	2	3	35	0	0	0	0	0	0	0
#0054 [84]	0	1712	1656	0	1607	1657	2	6	20	3	0	0	0	0	0	0
#0055 [85]	0	1088	1024	0	162F	1686	2	3	4	3	2	0	0	0	0	0
#0056 [86]	0	1072	1016	0	1441	041D	2	3	48	0	0	0	0	0	0	0
#0057 [87]	0	1152	1008	0	145B	041D	2	3	49	0	0	0	0	0	0	0
#0058 [88]	0	992	944	0	1474	1478	2	3	42	0	0	1	0	0	0	0
#0059 [89]	0	1024	944	0	0000	0000	1	0	43	0	0	7	0	0	0	0
#005A [90]	0	1040	936	0	0000	0265	2	0	44	0	0	0	0	0	0	0
#005B [91]	0	1072	952	0	0000	0272	2	0	45	0	0	0	0	0	0	0
#005C [92]	0	1056	976	0	0000	0276	2	0	46	2	0	0	0	0	0	0
#005D [93]	0	1056	960	0	0000	028D	1	0	47	2	0	0	0	0	0	0
#005E [94]	0	1104	952	0	0000	02B1	1	0	47	2	3	0	0	0	0	0
#005F [95]	0	1296	872	0	116B	0000	1	5	0	0	0	0	0	0	0	0
#0060 [96]	0	1824	1328	0	16AC	0000	1	7	0	0	0	0	0	0	0	0
#0061 [97]	0	128	1344	0	179F	0000	1	6	0	0	0	0	0	0	0	0
#0062 [98]	0	1520	1640	0	122F	0000	1	5	0	0	0	0	0	0	0	0
#0063 [99]	0	1280	1232	0	178F	0000	1	5	0	0	0	0	0	0	0	0
#0064 [100]	0	960	912	0	1797	0000	1	5	0	0	0	0	0	0	0	0
#0065 [101]	0	1216	1552	0	192F	0000	1	5	0	0	0	0	0	0	0	0
#0066 [102]	0	1264	1240	0	0014	1245	2	1	62	0	0	0	0	0	0	0
#0067 [103]	0	1280	1248	0	0014	1248	2	1	63	0	0	0	0	0	0	0
#0068 [104]	0	1216	1568	0	0014	124B	2	1	64	0	0	0	0	0	0	0
#0069 [105]	0	1232	1560	0	0014	124E	2	1	65	0	0	0	0	0	0	0
#006A [106]	0	960	1424	0	0019	0000	1	2	0	0	0	0	0	0	0	0
#006B [107]	0	1232	1560	0	0000	0000	0	0	34	0	0	0	0	0	0	0
#006C [108]	0	1184	336	0	18F5	0000	2	1	68	0	0	0	0	0	0	0
#006D [109]	0	1248	352	0	18FB	0000	2	1	69	0	0	0	0	0	0	0
#006E [110]	0	1168	1624	0	1901	0000	1	1	0	0	0	0	0	0	0	0
#006F [111]	0	1200	1608	0	1907	0000	1	1	0	0	0	0	0	0	0	0
#0070 [112]	0	1392	1288	0	0A4A	0000	1	1	0	0	0	0	0	0	0	0
#0071 [113]	0	352	1440	0	0000	03D1	2	2	163	1	0	0	0	0	0	0
#0072 [114]	0	1200	1560	10	0000	0000	1	0	164	0	0	0	0	0	0	0
#0073 [115]	0	0	0	0	0000	0C30	0	0	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
