场景号	地图号	进入脚本	传送脚本
$0028 [040]	42	0000	34EA	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#027C [636]	0	1856	1888	0	35B1	0000	1	5	0	0	0	0	0	0	0	0
#027D [637]	0	528	952	0	35B5	0000	1	5	0	0	0	0	0	0	0	0
#027E [638]	0	1360	1656	0	A07D	9CB3	1	5	472	2	0	0	0	0	0	0
#027F [639]	0	1232	1640	0	9CE7	9CA4	1	5	473	2	0	0	0	0	0	0
#0280 [640]	0	1248	1872	0	9F0F	9CB3	1	5	472	2	0	0	0	0	0	0
#0281 [641]	0	1312	1952	0	9CFC	9CAA	1	5	11	0	0	0	0	0	0	0
#0282 [642]	0	1376	1344	0	9E85	0002	1	5	472	2	0	0	0	0	0	0
#0283 [643]	0	576	1728	0	9CD8	9CAA	1	5	11	0	0	0	0	0	0	0
#0284 [644]	0	240	1256	0	9FF5	9CB3	1	5	472	2	0	0	0	0	0	0
#0285 [645]	0	368	1192	0	9E87	9CB3	1	5	472	2	0	0	0	0	0	0
#0286 [646]	0	224	1200	0	9CDB	9CAA	1	5	11	0	0	0	0	0	0	0
#0287 [647]	0	368	1272	0	9CE7	9CA4	1	5	473	2	0	0	0	0	0	0
#0288 [648]	0	736	1568	0	9E93	9CB3	1	5	472	2	0	0	0	0	0	0
#0289 [649]	0	800	1536	0	9CED	9CAA	1	5	11	0	0	0	0	0	0	0
#028A [650]	0	608	1504	0	9CE4	9CA4	1	5	473	2	0	0	0	0	0	0
#028B [651]	0	1456	1176	0	A07D	9CB3	1	5	472	2	0	0	0	0	0	0
#028C [652]	0	1568	1248	0	9E8F	9CB3	1	5	472	2	0	0	0	0	0	0
#028D [653]	0	1648	1272	0	9E91	0002	1	5	472	2	0	0	0	0	0	0
#028E [654]	0	1680	1192	0	9F0F	0002	1	5	472	2	0	0	0	0	0	0
#028F [655]	0	656	984	0	9CF0	9CAA	1	5	11	0	0	0	0	0	0	0
#0290 [656]	0	768	1072	0	9CF6	9CAA	1	5	11	0	0	0	0	0	0	0
#0291 [657]	0	816	968	0	9CF3	9CAA	1	5	11	0	0	0	0	0	0	0
#0292 [658]	0	1024	800	0	9CFC	0002	1	5	11	0	0	0	0	0	0	0
#0293 [659]	0	1744	1832	-9	0000	0005	1	0	261	0	0	0	0	0	0	0
#0294 [660]	0	1664	1808	-9	0000	0005	1	0	261	0	0	0	0	0	0	0
#0295 [661]	0	416	1552	1	0000	0005	1	0	260	0	0	0	0	0	0	0
#0296 [662]	0	272	1480	1	0000	0005	1	0	260	0	0	0	0	0	0	0
#0297 [663]	0	432	1368	1	0000	0005	1	0	260	0	0	0	0	0	0	0
#0298 [664]	0	720	1496	1	0000	0005	1	0	260	0	0	0	0	0	0	0
#0299 [665]	0	720	1512	-9	0000	0005	1	0	261	0	0	0	0	0	0	0
#029A [666]	0	1088	1552	-9	0000	0005	1	0	262	0	0	0	0	0	0	0
#029B [667]	0	1216	1264	-9	0000	0005	1	0	262	0	0	0	0	0	0	0
#029C [668]	0	1344	1328	0	095D	0000	2	2	10	0	0	0	0	0	0	0
#029D [669]	0	1760	1328	0	0717	0000	2	2	10	0	0	0	0	0	0	0
#029E [670]	0	1200	1896	0	0981	0000	2	2	10	0	0	0	0	0	0	0
#029F [671]	0	720	1816	0	08BB	0000	2	2	10	0	0	0	0	0	0	0
#02A0 [672]	0	832	1552	0	095D	0000	2	3	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
