场景号	地图号	进入脚本	传送脚本
#0029 [041]	39	35FB	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@02A1 [673]	0	768	672	0	3518	0000	1	5	0	0	0	0	0	0	0	0	
@02A2 [674]	0	816	776	0	3637	0000	1	7	251	0	0	0	0	0	0	0	
@02A3 [675]	0	496	824	0	35B9	0000	1	5	0	0	0	0	0	0	0	0	
@02A4 [676]	0	1376	864	0	35BD	0000	1	5	0	0	0	0	0	0	0	0	
@02A5 [677]	0	1200	968	0	35C1	0000	1	5	0	0	0	0	0	0	0	0	
@02A6 [678]	0	464	872	0	A07D	9CB3	1	5	472	2	0	0	0	0	0	0	
@02A7 [679]	0	384	880	0	9E93	9CB3	1	5	472	2	0	0	0	0	0	0	
@02A8 [680]	0	336	856	0	9E85	0002	1	5	472	2	0	0	0	0	0	0	
@02A9 [681]	0	768	1056	0	9CF6	9CAA	1	5	11	0	0	0	0	0	0	0	
@02AA [682]	0	688	1160	0	9CE7	9CA4	1	5	473	2	0	0	0	0	0	0	
@02AB [683]	0	560	1368	0	9E83	0002	1	5	472	2	0	0	0	0	0	0	
@02AC [684]	0	944	1400	0	9E91	0002	1	5	472	2	0	0	0	0	0	0	
@02AD [685]	0	1136	1080	0	9F0F	9CB3	1	5	472	2	0	0	0	0	0	0	
@02AE [686]	0	672	800	-9	0000	0005	1	0	262	0	0	0	0	0	0	0	
@02AF [687]	0	1040	744	-9	0000	0005	1	0	263	0	0	0	0	0	0	0	
@02B0 [688]	0	496	888	0	0465	0000	2	2	10	0	0	0	0	0	0	0	
@02B1 [689]	0	816	1096	0	0981	0000	2	2	10	0	0	0	0	0	0	0	
@02B2 [690]	0	1056	1040	0	095D	0000	2	2	10	0	0	0	0	0	0	0	
