场景号	地图号	进入脚本	传送脚本
#002A [042]	44	0243	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@02B3 [691]	0	1792	1808	0	34E6	0000	1	5	0	0	0	0	0	0	0	0	
@02B4 [692]	0	400	696	0	34EA	0000	1	5	0	0	0	0	0	0	0	0	
@02B5 [693]	0	1808	1448	0	3520	0000	1	5	0	0	0	0	0	0	0	0	
@02B6 [694]	0	1120	1456	0	9CE4	9CA4	1	5	473	2	0	0	0	0	0	0	
@02B7 [695]	0	864	1648	0	9CF6	9CAA	1	5	11	0	0	0	0	0	0	0	
@02B8 [696]	0	592	1352	0	9CEA	9CAA	1	5	11	0	0	0	0	0	0	0	
@02B9 [697]	0	512	1248	0	9E7F	9CAA	1	5	11	0	0	0	0	0	0	0	
@02BA [698]	0	832	1072	0	9F19	9CB3	1	5	472	2	0	0	0	0	0	0	
@02BB [699]	0	688	760	0	9F17	9CAA	1	5	11	2	0	0	0	0	0	0	
@02BC [700]	0	0	0	0	0000	0C1E	1	0	0	0	0	0	0	0	0	0	
