场景号	地图号	进入脚本	传送脚本
#002C [044]	41	0000	34EA	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@02BF [703]	0	1904	1896	0	3514	0000	1	6	0	0	0	0	0	0	0	0	
@02C0 [704]	0	720	1432	0	359D	0000	1	5	0	0	0	0	0	0	0	0	
@02C1 [705]	0	912	1304	0	35F1	0000	1	5	0	0	0	0	0	0	0	0	
@02C2 [706]	0	1344	592	0	35A1	0000	1	6	0	0	0	0	0	0	0	0	
@02C3 [707]	0	1264	1688	0	9E83	0002	1	5	472	2	0	0	0	0	0	0	
@02C4 [708]	0	1056	1712	0	9E87	0002	1	5	472	2	0	0	0	0	0	0	
@02C5 [709]	0	1104	1864	0	9F17	9CC9	1	5	472	2	0	0	0	0	0	0	
@02C6 [710]	0	768	1808	0	9CFC	9CAA	1	5	11	0	0	0	0	0	0	0	
@02C7 [711]	0	384	1808	0	9F17	0002	1	5	472	2	0	0	0	0	0	0	
@02C8 [712]	0	608	1648	0	9E87	9CC9	1	5	472	2	0	0	0	0	0	0	
@02C9 [713]	0	1072	1176	0	9F0F	0002	1	5	472	2	0	0	0	0	0	0	
@02CA [714]	0	1312	1344	0	A07B	0002	1	5	472	2	0	0	0	0	0	0	
@02CB [715]	0	1824	1456	0	9E87	9CC9	1	5	472	2	0	0	0	0	0	0	
@02CC [716]	0	1424	1208	0	9E83	0002	1	5	472	2	0	0	0	0	0	0	
@02CD [717]	0	1296	808	0	A07B	0002	1	5	472	2	0	0	0	0	0	0	
@02CE [718]	0	1808	1112	0	9E85	0002	1	5	472	2	0	0	0	0	0	0	
@02CF [719]	0	1264	808	0	9E8F	9CC9	1	5	472	2	0	0	0	0	0	0	
@02D0 [720]	0	1088	1136	0	074D	0000	2	2	10	0	0	0	0	0	0	0	
@02D1 [721]	0	1760	1328	0	0717	0000	2	2	10	0	0	0	0	0	0	0	
@02D2 [722]	0	1888	1232	3	095D	0000	2	2	10	0	0	0	0	0	0	0	
@02D3 [723]	0	1792	1856	1	0000	0005	1	0	260	0	0	0	0	0	0	0	
@02D4 [724]	0	1792	1872	-9	0000	0005	1	0	261	0	0	0	0	0	0	0	
@02D5 [725]	0	688	1448	1	0000	0005	1	0	260	0	0	0	0	0	0	0	
@02D6 [726]	0	688	1464	-9	0000	0005	1	0	261	0	0	0	0	0	0	0	
@02D7 [727]	0	1872	1976	-9	0000	0005	1	0	263	0	0	0	0	0	0	0	
@02D8 [728]	0	1168	632	-9	0000	0005	1	0	263	0	0	0	0	0	0	0	
@02D9 [729]	0	576	1472	-9	0000	0005	1	0	263	0	0	0	0	0	0	0	
@02DA [730]	0	1904	1192	-9	0000	0005	1	0	263	0	0	0	0	0	0	0	
