场景号	地图号	进入脚本	传送脚本
#002D [045]	70	0000	34EA	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@02DB [731]	0	192	1488	0	35A5	0000	1	5	0	0	0	0	0	0	0	0	
@02DC [732]	0	304	1912	0	35A9	0000	1	5	0	0	0	0	0	0	0	0	
@02DD [733]	0	1184	288	0	35AD	0000	1	5	0	0	0	0	0	0	0	0	
@02DE [734]	0	656	1576	0	9E85	9CC9	1	5	472	2	0	0	0	0	0	0	
@02DF [735]	0	864	1488	0	9CE7	9CA4	1	5	473	2	0	0	0	0	0	0	
@02E0 [736]	0	992	1568	0	9E8F	0002	1	5	472	2	0	0	0	0	0	0	
@02E1 [737]	0	544	1344	0	9FF5	0002	1	5	472	2	0	0	0	0	0	0	
@02E2 [738]	0	304	1112	0	9E83	0002	1	5	472	2	0	0	0	0	0	0	
@02E3 [739]	0	1248	1568	0	9E89	0002	1	5	472	2	0	0	0	0	0	0	
@02E4 [740]	0	1216	1376	0	9E8F	9CC9	1	5	472	2	0	0	0	0	0	0	
@02E5 [741]	0	1088	1248	0	A07D	9CC9	1	5	472	2	0	0	0	0	0	0	
@02E6 [742]	0	784	1096	0	9E87	0002	1	5	472	2	0	0	0	0	0	0	
@02E7 [743]	0	1104	968	0	9E85	0002	1	5	472	2	0	0	0	0	0	0	
@02E8 [744]	0	1184	1056	0	A07B	0002	1	5	472	2	0	0	0	0	0	0	
@02E9 [745]	0	1408	928	0	9CE7	9CA4	1	5	473	2	0	0	0	0	0	0	
@02EA [746]	0	1520	872	0	9F17	9CC9	1	5	472	2	0	0	0	0	0	0	
@02EB [747]	0	1472	1152	0	9CFC	9CAA	1	5	11	0	0	0	0	0	0	0	
@02EC [748]	0	1296	1224	0	9F0F	9CC9	1	5	472	2	0	0	0	0	0	0	
@02ED [749]	0	944	856	0	9E89	9CC9	1	5	472	2	0	0	0	0	0	0	
@02EE [750]	0	1584	552	0	9F17	0002	1	5	472	2	0	0	0	0	0	0	
@02EF [751]	0	1280	400	0	9F0F	0002	1	5	472	2	0	0	0	0	0	0	
@02F0 [752]	0	576	1296	0	074D	0000	2	2	10	0	0	0	0	0	0	0	
@02F1 [753]	0	336	1176	0	095D	0000	2	2	10	0	0	0	0	0	0	0	
@02F2 [754]	0	1248	1248	0	0621	0000	2	2	10	0	0	0	0	0	0	0	
@02F3 [755]	0	1104	712	0	08BB	0000	2	2	10	0	0	0	0	0	0	0	
