场景号	地图号	进入脚本	传送脚本
#002E [046]	43	0000	34EA	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@02F4 [756]	0	832	512	0	35C5	0000	1	5	0	0	0	0	0	0	0	0	
@02F5 [757]	0	1440	768	0	35C9	0000	1	5	0	0	0	0	0	0	0	0	
@02F6 [758]	0	1440	1408	0	35CD	0000	1	5	0	0	0	0	0	0	0	0	
@02F7 [759]	0	992	1056	0	35D1	0000	1	5	0	0	0	0	0	0	0	0	
@02F8 [760]	0	496	712	0	35D5	0000	1	5	0	0	0	0	0	0	0	0	
@02F9 [761]	0	832	1648	0	35D9	0000	1	5	0	0	0	0	0	0	0	0	
@02FA [762]	0	528	1656	0	35DD	0000	1	5	0	0	0	0	0	0	0	0	
@02FB [763]	0	1728	1728	0	35E1	0000	1	5	0	0	0	0	0	0	0	0	
@02FC [764]	0	1552	1544	0	35E5	0000	1	5	0	0	0	0	0	0	0	0	
@02FD [765]	0	704	1056	0	35E9	0000	1	5	0	0	0	0	0	0	0	0	
@02FE [766]	0	176	1112	0	35ED	0000	1	5	0	0	0	0	0	0	0	0	
@02FF [767]	0	1568	992	0	0981	0000	2	1	389	0	0	0	0	0	0	0	
