场景号	地图号	进入脚本	传送脚本
#002F [047]	45	3B0B	3767	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0300 [768]	0	464	984	0	36F2	0000	2	1	255	0	0	0	0	0	0	0	
@0301 [769]	0	448	976	0	35F5	0000	1	4	0	0	0	0	0	0	0	0	
@0302 [770]	0	1344	1360	0	351C	0000	1	6	0	0	0	0	0	0	0	0	
@0303 [771]	0	1440	304	0	3651	0000	2	6	252	0	0	0	0	0	0	0	
@0304 [772]	0	1088	736	0	3600	0000	2	6	267	3	0	0	0	0	0	0	
@0305 [773]	0	464	632	0	360B	0000	2	2	148	3	3	0	0	0	0	0	
@0306 [774]	0	448	704	0	360F	0000	2	2	144	1	0	0	0	0	0	0	
@0307 [775]	0	368	712	0	3613	0000	2	2	140	1	3	0	0	0	0	0	
@0308 [776]	0	560	680	0	3617	0000	2	2	142	1	2	0	0	0	0	0	
@0309 [777]	0	608	768	0	361C	0000	2	2	42	0	0	0	0	0	0	0	
@030A [778]	0	688	744	0	361F	0000	2	2	140	1	3	0	0	0	0	0	
@030B [779]	0	608	864	0	3623	0000	2	2	144	1	1	0	0	0	0	0	
@030C [780]	0	1184	304	0	362C	0000	2	2	147	3	0	0	0	0	0	0	
@030D [781]	0	960	1184	0	36AD	0000	2	7	146	3	3	0	0	0	0	0	
@030E [782]	0	880	1128	0	36B4	0000	2	7	148	3	3	0	0	0	0	0	
@030F [783]	0	768	880	0	36BD	0000	2	7	147	3	0	0	0	0	0	0	
@0310 [784]	0	800	816	0	36C2	0000	2	7	20	3	3	0	0	0	0	0	
@0311 [785]	0	688	1048	0	06F3	0000	2	1	389	0	0	0	0	0	0	0	
@0312 [786]	0	848	1032	0	05AF	0000	2	1	389	0	0	0	0	0	0	0	
@0313 [787]	0	304	712	0	06E1	0000	2	1	389	0	0	0	0	0	0	0	
@0314 [788]	0	288	720	0	06ED	0000	2	1	389	0	0	0	0	0	0	0	
@0315 [789]	0	1296	248	-2	0693	0000	2	1	10	0	0	0	0	0	0	0	
