场景号	地图号	进入脚本	传送脚本
#0005 [005]	4	1154	17A3	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0074 [116]	0	192	1680	0	16B0	0000	1	7	0	0	0	0	0	0	0	0	
@0075 [117]	0	1184	1424	-9	0000	0206	1	0	196	0	0	0	0	0	0	0	
@0076 [118]	0	1120	1424	0	0000	0000	0	0	197	0	0	0	0	0	0	0	
@0077 [119]	0	928	1728	0	0000	16C9	2	3	36	0	0	0	0	0	0	0	
@0078 [120]	0	912	1720	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0079 [121]	0	960	1760	3	0000	16CC	1	0	37	0	0	0	0	0	0	0	
@007A [122]	0	1008	1768	0	0000	0067	1	0	1	4	0	0	0	0	0	0	
@007B [123]	0	928	1792	0	0000	00B1	1	0	52	4	0	0	0	0	0	0	
@007C [124]	0	960	1376	0	16D6	0000	2	3	13	3	1	0	0	0	0	0	
@007D [125]	0	1040	1432	0	1738	0000	2	6	41	1	3	0	0	0	0	0	
@007E [126]	0	1168	1208	0	176B	0000	2	7	40	1	3	0	0	0	0	0	
@007F [127]	0	1248	1200	-9	1EEC	0000	1	0	231	0	0	0	0	0	0	0	
@0080 [128]	0	752	1448	0	1786	000E	2	3	51	1	0	0	0	0	0	0	
@0081 [129]	0	512	1408	0	1FDD	0011	2	3	127	1	0	0	0	0	0	0	
@0082 [130]	0	576	1376	0	0000	0011	2	3	51	1	0	0	0	0	0	0	
@0083 [131]	0	672	1328	0	0000	0011	2	3	90	1	0	0	0	0	0	0	
@0084 [132]	0	624	1512	0	0000	000E	2	3	317	1	0	0	0	0	0	0	
@0085 [133]	0	864	1408	0	0000	000E	2	3	127	1	0	0	0	0	0	0	
@0086 [134]	0	480	1440	0	0000	0008	2	2	140	1	2	0	0	0	0	0	
@0087 [135]	0	400	1336	0	0014	1251	2	1	62	0	0	0	0	0	0	0	
@0088 [136]	0	416	1344	0	0014	1254	2	1	63	0	0	0	0	0	0	0	
@0089 [137]	0	416	1328	0	115F	0000	1	5	0	0	0	0	0	0	0	0	
@008A [138]	0	656	1240	0	0014	1257	2	1	62	0	0	0	0	0	0	0	
@008B [139]	0	672	1248	0	0014	125A	2	1	63	0	0	0	0	0	0	0	
@008C [140]	0	672	1232	0	1157	0000	1	5	0	0	0	0	0	0	0	0	
@008D [141]	0	288	1040	0	190D	0000	1	1	0	0	0	0	0	0	0	0	
@008E [142]	0	640	1680	0	2039	0000	1	5	0	0	0	0	0	0	0	0	
@008F [143]	0	496	1448	0	0A6E	0000	1	1	0	0	0	0	0	0	0	0	
@0090 [144]	0	752	1736	0	0A8C	0000	1	1	0	0	0	0	0	0	0	0	
@0091 [145]	0	256	1456	0	0A6E	0000	1	1	0	0	0	0	0	0	0	0	
@0092 [146]	0	400	1096	0	0A8C	0000	1	1	0	0	0	0	0	0	0	0	
@0093 [147]	0	784	1288	0	0ADA	0000	1	1	0	0	0	0	0	0	0	0	
@0094 [148]	0	832	1264	0	0AC8	0000	1	1	0	0	0	0	0	0	0	0	
