场景号	地图号	进入脚本	传送脚本
#0035 [053]	59	3C9A	370A	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0388 [904]	0	1312	896	0	3763	0000	1	5	0	0	0	0	0	0	0	0	
@0389 [905]	0	1456	584	0	3A0D	0000	1	2	238	0	0	0	0	0	0	0	
@038A [906]	0	1392	584	0	3898	0008	2	6	91	3	0	0	0	0	0	0	
@038B [907]	0	1248	656	0	3B3F	0000	0	2	393	0	0	0	0	0	0	0	
@038C [908]	0	1248	656	0	3B69	0000	0	2	91	3	0	0	0	0	0	0	
@038D [909]	0	1216	496	0	38EF	3867	2	2	138	3	0	0	0	0	0	0	
@038E [910]	0	1424	600	0	3BCA	0011	0	2	15	3	0	0	0	0	0	0	
@038F [911]	0	576	608	0	3994	0000	1	1	0	0	0	0	0	0	0	0	
@0390 [912]	0	512	640	0	3999	0000	1	1	0	0	0	0	0	0	0	0	
@0391 [913]	0	560	616	0	399E	0000	1	1	0	0	0	0	0	0	0	0	
@0392 [914]	0	496	648	0	39A3	0000	1	1	0	0	0	0	0	0	0	0	
@0393 [915]	0	656	648	0	39A8	0000	1	1	0	0	0	0	0	0	0	0	
@0394 [916]	0	1136	520	4	0000	0000	1	2	191	0	0	0	0	0	0	0	
@0395 [917]	0	1088	544	4	0000	0000	1	2	189	0	0	0	0	0	0	0	
@0396 [918]	0	1248	480	0	0000	0000	1	2	346	0	0	0	0	0	0	0	
@0397 [919]	0	1184	496	4	0000	0000	1	2	190	0	0	0	0	0	0	0	
@0398 [920]	0	1040	568	4	0000	0000	1	2	192	0	0	0	0	0	0	0	
@0399 [921]	0	976	632	0	0000	0000	2	2	344	1	3	0	0	0	0	0	
@039A [922]	0	1024	624	2	0000	0000	1	2	345	0	0	0	0	0	0	0	
@039B [923]	0	1120	672	2	38E8	0000	1	2	188	0	0	0	0	0	0	0	
