场景号	地图号	进入脚本	传送脚本
#003A [058]	76	40CD	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@03B2 [946]	0	1456	1432	0	3D18	0000	1	6	0	0	0	0	0	0	0	0	
@03B3 [947]	0	608	896	5	0000	001E	1	0	8	0	0	0	0	0	0	0	
@03B4 [948]	0	592	904	5	0000	001C	1	0	8	0	0	0	0	0	0	0	
@03B5 [949]	0	576	912	5	0000	001D	1	0	8	0	0	0	0	0	0	0	
@03B6 [950]	0	560	920	5	0000	001C	1	0	8	0	0	0	0	0	0	0	
@03B7 [951]	0	544	928	5	0000	001E	1	0	8	0	0	0	0	0	0	0	
@03B8 [952]	0	528	936	5	0000	001D	1	0	8	0	0	0	0	0	0	0	
@03B9 [953]	0	512	944	5	0000	001D	1	0	8	0	0	0	0	0	0	0	
@03BA [954]	0	496	952	5	0000	001C	1	0	8	0	0	0	0	0	0	0	
@03BB [955]	0	928	1328	0	3D1C	0008	2	2	132	3	0	0	0	0	0	0	
@03BC [956]	0	880	840	0	3D1C	000B	2	2	132	3	0	0	0	0	0	0	
@03BD [957]	0	1040	872	0	3D1C	000E	2	2	132	3	0	0	0	0	0	0	
@03BE [958]	0	1408	1056	0	3D1C	0008	2	2	132	3	0	0	0	0	0	0	
@03BF [959]	0	656	1000	0	3DBE	0000	2	2	135	1	1	0	0	0	0	0	
@03C0 [960]	0	736	1008	0	3DB2	0000	2	6	220	3	3	0	0	0	0	0	
@03C1 [961]	0	864	1104	0	0000	3F23	0	0	356	3	1	0	0	0	0	0	
@03C2 [962]	0	656	1000	0	0000	0000	0	0	220	3	3	0	0	0	0	0	
@03C3 [963]	0	656	1000	0	0000	0000	0	0	413	0	0	0	0	0	0	0	
@03C4 [964]	0	656	1000	0	0000	0000	0	2	396	0	0	0	0	0	0	0	
@03C5 [965]	0	624	1016	0	3D1C	0011	2	2	132	3	3	0	0	0	0	0	
@03C6 [966]	0	688	984	0	3D1C	0011	2	2	132	3	3	0	0	0	0	0	
@03C7 [967]	0	720	1048	0	0000	0000	0	0	397	1	1	0	0	0	0	0	
@03C8 [968]	0	752	1032	0	0000	0000	0	0	400	1	1	0	0	0	0	0	
@03C9 [969]	0	912	1096	0	0000	3F54	0	0	132	3	1	0	0	0	0	0	
@03CA [970]	0	880	1112	0	0000	3F54	0	0	132	3	1	0	0	0	0	0	
@03CB [971]	0	848	1128	0	0000	3F54	0	0	132	3	1	0	0	0	0	0	
@03CC [972]	0	832	1136	0	0000	3F54	0	0	132	3	1	0	0	0	0	0	
@03CD [973]	0	976	1160	0	0000	0000	0	0	135	1	1	0	0	0	0	0	
@03CE [974]	0	736	1296	0	0B82	0000	1	1	0	0	0	0	0	0	0	0	
@03CF [975]	0	688	1320	0	0B52	0000	1	1	0	0	0	0	0	0	0	0	
@03D0 [976]	0	624	1320	0	0BAC	0000	1	1	0	0	0	0	0	0	0	0	
@03D1 [977]	0	800	1376	0	0B82	0000	1	1	0	0	0	0	0	0	0	0	
@03D2 [978]	0	976	1336	0	0A0E	0000	1	1	0	0	0	0	0	0	0	0	
@03D3 [979]	0	1376	1024	0	0B9A	0000	1	1	0	0	0	0	0	0	0	0	
@03D4 [980]	0	240	1080	0	0A14	0000	1	1	0	0	0	0	0	0	0	0	
@03D5 [981]	0	512	1104	0	0B8E	0000	1	1	0	0	0	0	0	0	0	0	
@03D6 [982]	0	544	1120	0	0B82	0000	1	1	0	0	0	0	0	0	0	0	
@03D7 [983]	0	416	1056	0	0B52	0000	1	1	0	0	0	0	0	0	0	0	
