场景号	地图号	进入脚本	传送脚本
#003B [059]	55	420B	3F95	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@03D8 [984]	0	1792	1792	6	0000	0000	0	0	3	3	1	0	0	0	0	0	
@03D9 [985]	0	1728	1808	6	0000	0000	0	0	7	3	3	0	0	0	0	0	
@03DA [986]	0	1328	1720	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03DB [987]	0	1328	1688	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@03DC [988]	0	1344	1712	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03DD [989]	0	1360	1704	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03DE [990]	0	1376	1696	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03DF [991]	0	1392	1688	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03E0 [992]	0	1392	1656	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@03E1 [993]	0	1296	1736	5	410A	0000	1	4	271	0	0	0	0	0	0	0	
@03E2 [994]	0	1296	1544	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03E3 [995]	0	1296	1512	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@03E4 [996]	0	1296	1432	5	4115	0000	1	4	271	0	0	0	0	0	0	0	
@03E5 [997]	0	880	1560	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03E6 [998]	0	880	1528	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@03E7 [999]	0	864	1552	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03E8 [1000]	0	848	1544	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03E9 [1001]	0	832	1536	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03EA [1002]	0	816	1528	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03EB [1003]	0	800	1520	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03EC [1004]	0	800	1488	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@03ED [1005]	0	800	1568	5	411B	0000	1	4	271	0	0	0	0	0	0	0	
@03EE [1006]	0	688	1912	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03EF [1007]	0	688	1880	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@03F0 [1008]	0	624	1896	5	4127	0000	1	4	271	0	0	0	0	0	0	0	
@03F1 [1009]	0	704	1904	0	0000	0000	1	0	298	0	0	4	0	0	0	0	
@03F2 [1010]	0	704	1872	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
