场景号	地图号	进入脚本	传送脚本
$0006 [006]	4	1154	17A3	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0095 [149]	0	1872	1944	0	17A3	0000	1	7	0	0	0	0	0	0	0	0
#0096 [150]	0	160	144	0	17A7	0000	1	7	0	0	0	0	0	0	0	0
#0097 [151]	0	1648	1608	0	9CD5	9CAA	1	5	11	0	0	0	0	0	0	0
#0098 [152]	0	1632	1424	0	9CD8	9CAA	1	5	11	0	0	0	0	0	0	0
#0099 [153]	0	768	1728	0	9CD2	9CC9	1	5	60	0	0	0	0	0	0	0
#009A [154]	0	576	1456	0	9CD2	9CC9	1	5	462	0	0	0	0	0	0	0
#009B [155]	0	912	1176	0	9CDE	9CA4	1	5	473	2	0	0	0	0	0	0
#009C [156]	0	1696	928	0	9CDE	9CA4	1	5	473	2	0	0	0	0	0	0
#009D [157]	0	1424	1080	0	9CE1	9CA4	1	5	473	2	0	0	0	0	0	0
#009E [158]	0	1392	840	0	9CD2	9CC9	1	5	466	0	0	0	0	0	0	0
#009F [159]	0	1184	704	0	9CEA	9CC9	1	5	60	0	0	0	0	0	0	0
#00A0 [160]	0	704	848	0	9CDB	9CAA	1	5	11	0	0	0	0	0	0	0
#00A1 [161]	0	560	552	0	9CF3	9CAA	1	5	11	0	0	0	0	0	0	0
#00A2 [162]	0	384	320	0	9CF6	9CAA	1	5	11	0	0	0	0	0	0	0
#00A3 [163]	0	1296	280	0	9CED	9CC9	1	5	462	0	0	0	0	0	0	0
#00A4 [164]	0	1840	568	0	9CF0	9CC9	1	5	60	0	0	0	0	0	0	0
#00A5 [165]	0	1648	664	0	9CE1	9CA4	1	5	473	2	0	0	0	0	0	0
#00A6 [166]	0	272	152	0	9CE4	9CA4	1	5	473	2	0	0	0	0	0	0
#00A7 [167]	0	256	896	0	09A5	0000	2	1	69	0	0	0	0	0	0	0
#00A8 [168]	0	1840	568	0	09BA	0000	2	1	68	0	0	0	0	0	0	0
#00A9 [169]	0	0	0	0	0000	0BCB	1	0	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
