场景号	地图号	进入脚本	传送脚本
$003C [060]	55	420B	3F95	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#0466 [1126]	0	1392	1512	0	3F94	0000	1	5	0	0	0	0	0	0	0	0
#0467 [1127]	0	1376	1008	0	3F9B	0000	1	5	0	0	0	0	0	0	0	0
#0468 [1128]	0	1536	752	0	3FA0	0000	1	5	0	0	0	0	0	0	0	0
#0469 [1129]	0	1776	648	0	3FA5	0000	1	5	0	0	0	0	0	0	0	0
#046A [1130]	0	1616	376	0	3FAA	0000	1	5	0	0	0	0	0	0	0	0
#046B [1131]	0	1312	272	0	3FAF	0000	1	5	0	0	0	0	0	0	0	0
#046C [1132]	0	544	688	0	3FB4	0000	1	5	0	0	0	0	0	0	0	0
#046D [1133]	0	432	968	0	3FB9	0000	1	5	0	0	0	0	0	0	0	0
#046E [1134]	0	640	1712	0	3FBE	0000	1	5	0	0	0	0	0	0	0	0
#046F [1135]	0	928	1488	0	3FC3	0000	1	5	0	0	0	0	0	0	0	0
#0470 [1136]	0	784	1240	0	3FC8	0000	1	5	0	0	0	0	0	0	0	0
#0471 [1137]	0	1152	896	0	3FCD	0000	1	5	0	0	0	0	0	0	0	0
#0472 [1138]	0	1520	1576	-1	0000	0000	2	0	270	0	0	0	0	0	0	0
#0473 [1139]	0	1536	1568	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0474 [1140]	0	896	1440	-1	0000	0000	2	0	270	0	0	0	0	0	0	0
#0475 [1141]	0	912	1432	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0476 [1142]	0	752	1400	-1	0000	0000	2	0	270	0	0	0	0	0	0	0
#0477 [1143]	0	768	1392	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#0478 [1144]	0	416	1536	-1	0000	0000	2	0	270	0	0	0	0	0	0	0
#0479 [1145]	0	432	1528	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#047A [1146]	0	1648	536	-1	0000	0000	2	0	269	0	0	0	0	0	0	0
#047B [1147]	0	1632	528	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#047C [1148]	0	432	472	-1	0000	0000	2	0	269	0	0	0	0	0	0	0
#047D [1149]	0	416	464	0	0000	0000	2	0	0	0	0	0	0	0	0	0
#047E [1150]	0	1440	1520	-9	4016	0000	1	4	271	0	0	0	0	0	0	0
#047F [1151]	0	1072	1480	-9	401C	0000	1	4	271	0	0	0	0	0	0	0
#0480 [1152]	0	1040	1496	-9	4022	0000	1	4	271	0	0	0	0	0	0	0
#0481 [1153]	0	1104	1880	-9	4028	0000	1	4	271	0	0	0	0	0	0	0
#0482 [1154]	0	1520	504	-9	402E	0000	1	4	271	0	0	0	0	0	0	0
#0483 [1155]	0	336	344	-9	4034	0000	1	4	271	0	0	0	0	0	0	0
#0484 [1156]	0	1536	1600	0	9EA3	9CCC	2	5	59	3	0	0	0	0	0	0
#0485 [1157]	0	1584	1576	0	9EAB	9CB9	2	5	474	4	0	0	0	0	0	0
#0486 [1158]	0	1600	1632	0	9E9B	9CCC	2	5	59	3	0	0	0	0	0	0
#0487 [1159]	0	1648	1608	0	9EA7	9CCC	2	5	59	3	0	0	0	0	0	0
#0488 [1160]	0	1184	1648	0	9EAD	9CB9	2	5	474	4	0	0	0	0	0	0
#0489 [1161]	0	1136	1416	0	9EAF	9CB9	2	5	474	4	0	0	0	0	0	0
#048A [1162]	0	1744	1240	0	9EC3	9CAD	2	5	11	0	0	0	0	0	0	0
#048B [1163]	0	1184	1120	0	9EB7	9CB9	2	5	474	4	0	0	0	0	0	0
#048C [1164]	0	1008	1192	0	9EA9	9CCC	2	5	59	3	0	0	0	0	0	0
#048D [1165]	0	1072	1208	0	9EBB	9CB9	2	5	474	4	0	0	0	0	0	0
#048E [1166]	0	1744	824	0	9EC1	9CCC	2	5	59	3	0	0	0	0	0	0
#048F [1167]	0	1648	936	0	9EA5	9CCC	2	5	59	3	0	0	0	0	0	0
#0490 [1168]	0	976	1432	0	9EB3	9CAD	2	5	11	0	0	0	0	0	0	0
#0491 [1169]	0	976	1480	0	9EBF	9CAD	2	5	11	0	0	0	0	0	0	0
#0492 [1170]	0	272	1304	0	9EAB	9CB9	2	5	474	4	0	0	0	0	0	0
#0493 [1171]	0	448	1280	0	9EAF	9CB9	2	5	474	4	0	0	0	0	0	0
#0494 [1172]	0	864	1728	0	9EA9	9CCC	2	5	59	3	0	0	0	0	0	0
