场景号	地图号	进入脚本	传送脚本
$003E [062]	56	420F	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#04C0 [1216]	0	928	784	0	3F6E	0000	1	5	0	0	0	0	0	0	0	0
#04C1 [1217]	0	960	1616	0	3F72	0000	1	5	0	0	0	0	0	0	0	0
#04C2 [1218]	0	1216	1328	0	3F76	0000	1	5	0	0	0	0	0	0	0	0
#04C3 [1219]	0	1088	1168	0	097B	0000	2	1	10	0	0	0	0	0	0	0
#04C4 [1220]	0	752	1432	0	097B	0000	2	1	10	0	0	0	0	0	0	0
#04C5 [1221]	0	1120	608	0	07B9	0000	2	1	10	0	0	0	0	0	0	0
#04C6 [1222]	0	1408	752	0	0A56	0000	1	1	0	0	0	0	0	0	0	0
#04C7 [1223]	0	1216	752	0	0B2E	0000	1	1	0	0	0	0	0	0	0	0
#04C8 [1224]	0	720	1560	0	0A20	0000	1	1	0	0	0	0	0	0	0	0
#04C9 [1225]	0	800	1600	0	0A56	0000	1	1	0	0	0	0	0	0	0	0
#04CA [1226]	0	576	1520	0	0A62	0000	1	1	0	0	0	0	0	0	0	0
#04CB [1227]	0	1424	1192	0	0B76	0000	1	1	0	0	0	0	0	0	0	0
#04CC [1228]	0	1520	1240	0	0A1A	0000	1	1	0	0	0	0	0	0	0	0
#04CD [1229]	0	1312	1216	0	0A56	0000	1	1	0	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
