场景号	地图号	进入脚本	传送脚本
$003F [063]	53	4215	3F82	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#04CE [1230]	0	1872	1912	0	3F82	0000	1	5	0	0	0	0	0	0	0	0
#04CF [1231]	0	1600	272	0	3F87	0000	1	5	0	0	0	0	0	0	0	0
#04D0 [1232]	0	0	0	0	0000	0BDC	1	0	0	0	0	0	0	0	0	0
#04D1 [1233]	0	1680	1512	0	9E99	9CB9	2	5	474	4	0	0	0	0	0	0
#04D2 [1234]	0	1536	1504	0	9E97	9CCC	2	5	59	3	0	0	0	0	0	0
#04D3 [1235]	0	1536	1392	0	9E9B	9CCC	2	5	59	3	0	0	0	0	0	0
#04D4 [1236]	0	1600	1296	0	9E99	9CB9	2	5	474	4	0	0	0	0	0	0
#04D5 [1237]	0	1536	1264	0	9E9B	9CCC	2	5	59	3	0	0	0	0	0	0
#04D6 [1238]	0	640	1072	0	9E97	9CCC	2	5	59	3	0	0	0	0	0	0
#04D7 [1239]	0	752	904	0	9E99	9CB9	2	5	474	4	0	0	0	0	0	0
#04D8 [1240]	0	848	888	0	9E9D	9CCC	2	5	59	3	0	0	0	0	0	0
#04D9 [1241]	0	912	920	0	9EA5	9CCC	2	5	59	3	0	0	0	0	0	0
#04DA [1242]	0	1008	1000	0	9EA9	9CCC	2	5	59	3	0	0	0	0	0	0
#04DB [1243]	0	1088	1008	0	9EA7	9CCC	2	5	59	3	0	0	0	0	0	0
#04DC [1244]	0	1056	848	0	9EA3	9CCC	2	5	59	3	0	0	0	0	0	0
#04DD [1245]	0	1392	872	0	9E97	9CCC	2	5	59	3	0	0	0	0	0	0
#04DE [1246]	0	1472	928	0	9E9B	9CCC	2	5	59	3	0	0	0	0	0	0
#04DF [1247]	0	688	424	0	9E99	9CB9	2	5	474	4	0	0	0	0	0	0
#04E0 [1248]	0	608	592	0	9E99	9CB9	2	5	474	4	0	0	0	0	0	0
#04E1 [1249]	0	896	624	0	9E99	9CB9	2	5	474	4	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
