场景号	地图号	进入脚本	传送脚本
#0040 [064]	57	0000	3F95	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@04E2 [1250]	0	352	1872	0	3F8B	0000	1	5	0	0	0	0	0	0	0	0	
@04E3 [1251]	0	560	264	0	4009	0000	1	5	0	0	0	0	0	0	0	0	
@04E4 [1252]	0	544	304	-9	0000	0002	1	0	264	0	0	0	0	0	0	0	
@04E5 [1253]	0	0	0	0	0000	0BDC	1	0	0	0	0	0	0	0	0	0	
@04E6 [1254]	0	320	272	0	9EB3	9CAA	2	5	11	0	0	0	0	0	0	0	
@04E7 [1255]	0	656	584	0	9CF6	9CAA	2	5	11	0	0	0	0	0	0	0	
@04E8 [1256]	0	1392	632	0	9CD8	9CAA	2	5	11	0	0	0	0	0	0	0	
@04E9 [1257]	0	1360	552	0	9CED	9CAA	2	5	11	0	0	0	0	0	0	0	
@04EA [1258]	0	1056	816	0	9CD5	9CAA	2	5	11	0	0	0	0	0	0	0	
@04EB [1259]	0	1408	1024	0	9EB1	9CAA	2	5	11	0	0	0	0	0	0	0	
@04EC [1260]	0	1616	1208	0	9E7F	9CAA	2	5	11	0	0	0	0	0	0	0	
@04ED [1261]	0	1120	1184	0	9F17	9CAA	2	5	11	0	0	0	0	0	0	0	
@04EE [1262]	0	800	1504	0	9CD8	9CAA	2	5	11	0	0	0	0	0	0	0	
@04EF [1263]	0	544	1584	0	9CFC	9CAA	2	5	11	0	0	0	0	0	0	0	
@04F0 [1264]	0	192	1760	0	9CF0	9CAA	2	5	11	0	0	0	0	0	0	0	
@04F1 [1265]	0	32	1744	0	9EBD	9CAA	2	5	11	0	0	0	0	0	0	0	
@04F2 [1266]	0	64	1536	0	9EB1	9CAA	2	5	11	0	0	0	0	0	0	0	
@04F3 [1267]	0	1632	1712	0	9F17	9CAA	2	5	11	0	0	0	0	0	0	0	
@04F4 [1268]	0	1424	1688	0	9CDB	9CAA	2	5	11	0	0	0	0	0	0	0	
@04F5 [1269]	0	1616	1512	0	9CFC	9CAA	2	5	11	0	0	0	0	0	0	0	
@04F6 [1270]	0	1584	1400	0	9E7F	9CAA	2	5	11	0	0	0	0	0	0	0	
@04F7 [1271]	0	480	1408	0	9E99	0000	2	5	474	4	0	0	0	0	0	0	
@04F8 [1272]	0	1184	1776	0	9E97	0000	2	5	474	4	0	0	0	0	0	0	
@04F9 [1273]	0	960	1840	0	9E9B	0000	2	5	474	4	0	0	0	0	0	0	
@04FA [1274]	0	800	1824	0	9E99	0000	2	5	474	4	0	0	0	0	0	0	
@04FB [1275]	0	608	1680	0	9E99	0000	2	5	474	4	0	0	0	0	0	0	
@04FC [1276]	0	1024	1424	0	9E97	0000	2	5	474	4	0	0	0	0	0	0	
@04FD [1277]	0	1232	1464	0	9E9B	0000	2	5	474	4	0	0	0	0	0	0	
@04FE [1278]	0	1680	1544	0	9E9B	0000	2	5	474	4	0	0	0	0	0	0	
@04FF [1279]	0	480	1408	-1	07FB	0000	2	1	10	0	0	0	0	0	0	0	
@0500 [1280]	0	1184	1776	-1	07EF	0000	2	1	10	0	0	0	0	0	0	0	
@0501 [1281]	0	960	1840	-1	0717	0000	2	1	10	0	0	0	0	0	0	0	
@0502 [1282]	0	800	1824	-1	079B	0000	2	1	10	0	0	0	0	0	0	0	
@0503 [1283]	0	416	1728	-1	0477	0000	2	1	10	0	0	0	0	0	0	0	
@0504 [1284]	0	608	1680	-1	097B	0000	2	1	10	0	0	0	0	0	0	0	
@0505 [1285]	0	1024	1424	-1	074D	0000	2	1	10	0	0	0	0	0	0	0	
@0506 [1286]	0	1232	1464	-1	084F	0000	2	1	10	0	0	0	0	0	0	0	
@0507 [1287]	0	1680	1544	-1	0717	0000	2	1	10	0	0	0	0	0	0	0	
