场景号	地图号	进入脚本	传送脚本
#0041 [065]	57	40BD	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0508 [1288]	0	1264	1144	0	3FD2	0000	1	5	0	0	0	0	0	0	0	0	
@0509 [1289]	0	1424	888	0	3FD7	0000	1	5	0	0	0	0	0	0	0	0	
@050A [1290]	0	1664	784	0	3FDC	0000	1	5	0	0	0	0	0	0	0	0	
@050B [1291]	0	1504	512	0	3FE1	0000	1	5	0	0	0	0	0	0	0	0	
@050C [1292]	0	1200	408	0	3FE6	0000	1	5	0	0	0	0	0	0	0	0	
@050D [1293]	0	432	824	0	3FEB	0000	1	5	0	0	0	0	0	0	0	0	
@050E [1294]	0	320	1104	0	3FF0	0000	1	5	0	0	0	0	0	0	0	0	
@050F [1295]	0	528	1848	0	3FF5	0000	1	5	0	0	0	0	0	0	0	0	
@0510 [1296]	0	816	1624	0	3FFA	0000	1	5	0	0	0	0	0	0	0	0	
@0511 [1297]	0	672	1376	0	3FFF	0000	1	5	0	0	0	0	0	0	0	0	
@0512 [1298]	0	1040	1032	0	4004	0000	1	5	0	0	0	0	0	0	0	0	
@0513 [1299]	0	1376	1808	-1	0000	0000	2	0	270	0	0	0	0	0	0	0	
@0514 [1300]	0	1392	1800	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0515 [1301]	0	1408	1664	-1	0000	0000	2	0	270	0	0	0	0	0	0	0	
@0516 [1302]	0	1424	1656	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0517 [1303]	0	1216	1632	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@0518 [1304]	0	1200	1624	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0519 [1305]	0	1088	1616	-1	0000	0000	2	0	270	0	0	0	0	0	0	0	
@051A [1306]	0	1104	1608	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@051B [1307]	0	1136	1256	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@051C [1308]	0	1120	1248	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@051D [1309]	0	896	1120	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@051E [1310]	0	880	1112	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@051F [1311]	0	768	1056	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@0520 [1312]	0	752	1048	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0521 [1313]	0	480	1104	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@0522 [1314]	0	464	1096	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0523 [1315]	0	448	1232	-1	0000	0000	2	0	270	0	0	0	0	0	0	0	
@0524 [1316]	0	464	1224	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0525 [1317]	0	592	440	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@0526 [1318]	0	576	432	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0527 [1319]	0	336	392	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@0528 [1320]	0	320	384	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0529 [1321]	0	1088	928	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@052A [1322]	0	1072	920	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@052B [1323]	0	928	784	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@052C [1324]	0	912	776	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@052D [1325]	0	960	240	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@052E [1326]	0	944	232	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@052F [1327]	0	1680	1176	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@0530 [1328]	0	1664	1168	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0531 [1329]	0	1680	1368	-1	0000	0000	2	0	270	0	0	0	0	0	0	0	
@0532 [1330]	0	1696	1360	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0533 [1331]	0	1520	1336	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@0534 [1332]	0	1504	1328	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0535 [1333]	0	704	1856	-1	0000	0000	2	0	269	0	0	0	0	0	0	0	
@0536 [1334]	0	688	1848	0	0000	0000	2	0	0	0	0	0	0	0	0	0	
@0537 [1335]	0	1408	1824	-9	403A	0000	1	4	271	0	0	0	0	0	0	0	
@0538 [1336]	0	1296	1704	-9	4040	0000	1	4	271	0	0	0	0	0	0	0	
@0539 [1337]	0	1296	1544	-9	4046	0000	1	4	271	0	0	0	0	0	0	0	
@053A [1338]	0	976	1656	-9	404C	0000	1	4	271	0	0	0	0	0	0	0	
@053B [1339]	0	1280	1184	-9	4052	0000	1	4	271	0	0	0	0	0	0	0	
@053C [1340]	0	960	960	-9	4058	0000	1	4	271	0	0	0	0	0	0	0	
@053D [1341]	0	720	1064	-9	405E	0000	1	4	271	0	0	0	0	0	0	0	
@053E [1342]	0	576	1152	-9	4064	0000	1	4	271	0	0	0	0	0	0	0	
@053F [1343]	0	288	1232	-9	406A	0000	1	4	271	0	0	0	0	0	0	0	
@0540 [1344]	0	752	424	-9	4070	0000	1	4	271	0	0	0	0	0	0	0	
@0541 [1345]	0	256	384	-9	4076	0000	1	4	271	0	0	0	0	0	0	0	
@0542 [1346]	0	1040	792	-9	407C	0000	1	4	271	0	0	0	0	0	0	0	
@0543 [1347]	0	800	736	-9	4082	0000	1	4	271	0	0	0	0	0	0	0	
@0544 [1348]	0	1008	152	-9	4088	0000	1	4	271	0	0	0	0	0	0	0	
@0545 [1349]	0	1776	1240	-9	408E	0000	1	4	271	0	0	0	0	0	0	0	
@0546 [1350]	0	1504	1216	-9	4094	0000	1	4	271	0	0	0	0	0	0	0	
@0547 [1351]	0	1440	1328	-9	409A	0000	1	4	271	0	0	0	0	0	0	0	
@0548 [1352]	0	640	1744	-9	40A0	0000	1	4	271	0	0	0	0	0	0	0	
@0549 [1353]	0	544	256	0	40A6	0000	1	8	253	0	0	0	0	0	0	0	
@054A [1354]	0	1280	1904	0	9EB3	9CAD	2	5	11	0	0	0	0	0	0	0	
@054B [1355]	0	368	1608	0	9EB7	9CAD	2	5	11	0	0	0	0	0	0	0	
@054C [1356]	0	464	1304	0	9EC3	9CAD	2	5	11	0	0	0	0	0	0	0	
@054D [1357]	0	512	1264	0	9EC7	9CCC	2	5	59	3	0	0	0	0	0	0	
@054E [1358]	0	1232	1752	0	9EA5	9CCC	2	5	59	3	0	0	0	0	0	0	
@054F [1359]	0	1504	1648	0	9E8D	9CAD	2	5	11	0	0	0	0	0	0	0	
@0550 [1360]	0	1376	1504	0	9EA9	9CCC	2	5	59	3	0	0	0	0	0	0	
@0551 [1361]	0	1072	1656	0	9EBF	9CAD	2	5	11	0	0	0	0	0	0	0	
@0552 [1362]	0	1152	1664	0	9EB9	9CB9	2	5	474	4	0	0	0	0	0	0	
@0553 [1363]	0	992	1664	0	9EC7	9CCC	2	5	59	3	0	0	0	0	0	0	
@0554 [1364]	0	1536	1248	0	9EAB	9CB9	2	5	474	4	0	0	0	0	0	0	
@0555 [1365]	0	1632	848	0	9EA9	9CCC	2	5	59	3	0	0	0	0	0	0	
@0556 [1366]	0	1728	848	0	9EC5	9CCC	2	5	59	3	0	0	0	0	0	0	
@0557 [1367]	0	256	384	0	9EC7	9CCC	2	5	59	3	0	0	0	0	0	0	
@0558 [1368]	0	336	424	0	9EB5	9CB9	2	5	474	4	0	0	0	0	0	0	
@0559 [1369]	0	608	640	0	9EC3	9CAD	2	5	11	0	0	0	0	0	0	0	
@055A [1370]	0	656	616	0	9EB3	9CAD	2	5	11	0	0	0	0	0	0	0	
@055B [1371]	0	880	344	0	9EB5	9CB9	2	5	474	4	0	0	0	0	0	0	
@055C [1372]	0	944	344	0	9EA7	9CCC	2	5	59	3	0	0	0	0	0	0	
@055D [1373]	0	976	424	0	9EAF	9CB9	2	5	474	4	0	0	0	0	0	0	
@055E [1374]	0	1504	608	0	9EC3	9CCC	2	5	59	3	0	0	0	0	0	0	
@055F [1375]	0	1648	248	0	9EBF	9CAD	2	5	11	0	0	0	0	0	0	0	
@0560 [1376]	0	496	1128	0	9EC5	9CCC	2	5	59	3	0	0	0	0	0	0	
@0561 [1377]	0	400	1144	0	9EC7	9CCC	2	5	59	3	0	0	0	0	0	0	
@0562 [1378]	0	208	1096	0	9EB5	9CB9	2	5	474	4	0	0	0	0	0	0	
@0563 [1379]	0	672	928	0	9EC3	9CAD	2	5	11	0	0	0	0	0	0	0	
@0564 [1380]	0	1024	784	0	9EB3	9CAD	2	5	11	0	0	0	0	0	0	0	
@0565 [1381]	0	1056	784	0	9EB5	9CB9	2	5	474	4	0	0	0	0	0	0	
@0566 [1382]	0	1168	888	0	9EA7	9CCC	2	5	59	3	0	0	0	0	0	0	
@0567 [1383]	0	816	424	0	9EAF	9CB9	2	5	474	4	0	0	0	0	0	0	
@0568 [1384]	0	800	608	0	9EC3	9CAD	2	5	11	0	0	0	0	0	0	0	
@0569 [1385]	0	896	624	0	9EB3	9CAD	2	5	11	0	0	0	0	0	0	0	
@056A [1386]	0	576	368	0	9EC5	9CCC	2	5	59	3	0	0	0	0	0	0	
@056B [1387]	0	1200	952	0	9EC7	9CC9	2	5	59	3	0	0	0	0	0	0	
@056C [1388]	0	1184	960	0	9EC7	9CC9	2	5	59	3	0	0	0	0	0	0	
@056D [1389]	0	1200	984	0	9EC7	9CCC	2	5	59	3	0	0	0	0	0	0	
@056E [1390]	0	1216	976	0	9EA5	9CCC	2	5	59	3	0	0	0	0	0	0	
@056F [1391]	0	1232	968	0	9EB7	9CB9	2	5	474	4	0	0	0	0	0	0	
@0570 [1392]	0	1008	1192	0	9EA9	9CCC	2	5	59	3	0	0	0	0	0	0	
@0571 [1393]	0	1072	1208	0	9EBB	9CB9	2	5	474	4	0	0	0	0	0	0	
@0572 [1394]	0	1264	1896	0	072F	0000	2	1	10	0	0	0	0	0	0	0	
@0573 [1395]	0	512	1344	0	05E5	0000	2	1	10	0	0	0	0	0	0	0	
@0574 [1396]	0	656	1272	0	0483	0000	2	1	10	0	0	0	0	0	0	0	
@0575 [1397]	0	976	680	0	0819	0000	2	1	10	0	0	0	0	0	0	0	
@0576 [1398]	0	960	1184	0	098D	0000	2	1	10	0	0	0	0	0	0	0	
@0577 [1399]	0	1760	1232	0	074D	0000	2	1	10	0	0	0	0	0	0	0	
@0578 [1400]	0	1488	1224	0	071D	0000	2	1	10	0	0	0	0	0	0	0	
@0579 [1401]	0	1280	1744	0	06CF	0000	2	1	10	0	0	0	0	0	0	0	
@057A [1402]	0	1072	1672	0	06F3	0000	2	1	10	0	0	0	0	0	0	0	
@057B [1403]	0	976	1544	0	0813	0000	2	1	10	0	0	0	0	0	0	0	
@057C [1404]	0	656	632	0	098D	0000	2	1	10	0	0	0	0	0	0	0	
@057D [1405]	0	1248	256	0	072F	0000	2	1	10	0	0	0	0	0	0	0	
@057E [1406]	0	880	344	0	0717	0000	2	1	10	0	0	0	0	0	0	0	
@057F [1407]	0	704	800	0	04E9	0000	2	1	10	0	0	0	0	0	0	0	
