场景号	地图号	进入脚本	传送脚本
$0046 [070]	63	43BB	4252	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#05AF [1455]	0	1584	1032	0	4252	0000	1	5	0	0	0	0	0	0	0	0
#05B0 [1456]	0	1680	744	0	4256	0000	1	5	0	0	0	0	0	0	0	0
#05B1 [1457]	0	1456	984	0	9CE4	9CA4	2	5	473	2	0	0	0	0	0	0
#05B2 [1458]	0	1056	1104	0	9D0D	9CB3	2	5	548	3	0	0	0	0	0	0
#05B3 [1459]	0	1360	856	0	9EF3	9CB3	2	5	549	3	0	0	0	0	0	0
#05B4 [1460]	0	1232	456	0	9D37	9CB3	2	5	548	3	0	0	0	0	0	0
#05B5 [1461]	0	912	440	0	9EF5	9CB3	2	5	549	3	0	0	0	0	0	0
#05B6 [1462]	0	480	624	0	083D	0000	2	1	10	0	0	0	0	0	0	0
#05B7 [1463]	0	1328	696	0	081F	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
