场景号	地图号	进入脚本	传送脚本
$0047 [071]	64	43BB	425A	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#05B8 [1464]	0	1168	1080	0	425A	0000	1	5	0	0	0	0	0	0	0	0
#05B9 [1465]	0	1744	1128	0	425E	0000	1	5	0	0	0	0	0	0	0	0
#05BA [1466]	0	1264	856	0	9E87	9CB3	2	5	472	2	0	0	0	0	0	0
#05BB [1467]	0	1008	1576	0	9CE7	9CA4	2	5	473	2	0	0	0	0	0	0
#05BC [1468]	0	1088	944	0	9D19	9CB3	2	5	549	3	0	0	0	0	0	0
#05BD [1469]	0	1312	720	0	9EF3	9CB3	2	5	549	3	0	0	0	0	0	0
#05BE [1470]	0	576	832	0	9EF1	9CB3	2	5	548	3	0	0	0	0	0	0
#05BF [1471]	0	928	1024	0	081F	0000	2	1	10	0	0	0	0	0	0	0
#05C0 [1472]	0	1184	656	0	08CD	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
