场景号	地图号	进入脚本	传送脚本
$004B [075]	68	43BB	427A	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#05D4 [1492]	0	1776	1160	0	427A	0000	1	5	0	0	0	0	0	0	0	0
#05D5 [1493]	0	1264	1016	0	9E93	9CB3	2	5	472	2	0	0	0	0	0	0
#05D6 [1494]	0	368	1032	0	9CE4	9CA4	2	5	473	2	0	0	0	0	0	0
#05D7 [1495]	0	448	1552	0	9CE7	9CA4	2	5	473	2	0	0	0	0	0	0
#05D8 [1496]	0	1344	1216	0	072F	0000	2	1	10	0	0	0	0	0	0	0
#05D9 [1497]	0	304	696	0	08CD	0000	2	1	10	0	0	0	0	0	0	0
#05DA [1498]	0	1184	992	0	0717	0000	2	1	10	0	0	0	0	0	0	0
#05DB [1499]	0	1328	1208	0	08DF	0000	2	1	10	0	0	0	0	0	0	0
#05DC [1500]	0	512	1680	0	072F	0000	2	1	10	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
