场景号	地图号	进入脚本	传送脚本
$004C [076]	72	43B5	4286	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#05DD [1501]	0	912	1912	0	4286	0000	1	5	0	0	0	0	0	0	0	0
#05DE [1502]	0	720	1800	0	428A	0000	1	5	0	0	0	0	0	0	0	0
#05DF [1503]	0	416	496	0	428E	0000	1	5	0	0	0	0	0	0	0	0
#05E0 [1504]	0	1328	1576	0	9F05	9CCC	2	5	548	3	0	0	0	0	0	0
#05E1 [1505]	0	1488	1352	0	9EFB	9CCC	2	5	548	3	0	0	0	0	0	0
#05E2 [1506]	0	1184	1440	0	9D0A	9CCC	2	5	549	3	0	0	0	0	0	0
#05E3 [1507]	0	416	1200	0	9EF3	9CB3	2	5	549	3	0	0	0	0	0	0
#05E4 [1508]	0	720	1160	0	9F05	9CB3	2	5	548	3	0	0	0	0	0	0
#05E5 [1509]	0	1376	1088	0	9EF7	9CB3	2	5	549	3	0	0	0	0	0	0
#05E6 [1510]	0	1696	880	0	9EFD	9CCC	2	5	548	3	0	0	0	0	0	0
#05E7 [1511]	0	1552	552	0	A071	9CCC	2	5	548	3	0	0	0	0	0	0
#05E8 [1512]	0	1136	296	0	9EF1	9CB3	2	5	548	3	0	0	0	0	0	0
#05E9 [1513]	0	784	696	0	9EED	9CB3	2	5	549	3	0	0	0	0	0	0
#05EA [1514]	0	416	512	6	0000	0005	1	0	617	0	0	3	0	0	0	0
#05EB [1515]	0	528	456	6	0000	0005	1	0	617	0	0	0	0	0	0	0
#05EC [1516]	0	912	680	6	0000	0005	1	0	617	0	0	6	0	0	0	0
#05ED [1517]	0	1200	536	6	0000	0005	1	0	617	0	0	2	0	0	0	0
#05EE [1518]	0	848	392	6	0000	0005	1	0	617	0	0	0	0	0	0	0
#05EF [1519]	0	1296	168	6	0000	0005	1	0	617	0	0	8	0	0	0	0
#05F0 [1520]	0	1136	344	6	0000	0005	1	0	617	0	0	1	0	0	0	0
#05F1 [1521]	0	1520	472	6	0000	0005	1	0	617	0	0	0	0	0	0	0
#05F2 [1522]	0	1232	648	6	0000	0005	1	0	617	0	0	4	0	0	0	0
#05F3 [1523]	0	1664	896	6	0000	0005	1	0	617	0	0	0	0	0	0	0
#05F4 [1524]	0	1472	928	6	0000	0005	1	0	617	0	0	6	0	0	0	0
#05F5 [1525]	0	1504	1136	6	0000	0005	1	0	617	0	0	0	0	0	0	0
#05F6 [1526]	0	1008	1064	6	0000	0005	1	0	617	0	0	9	0	0	0	0
#05F7 [1527]	0	352	1072	6	0000	0005	1	0	617	0	0	5	0	0	0	0
#05F8 [1528]	0	624	1448	6	0000	0005	1	0	617	0	0	0	0	0	0	0
#05F9 [1529]	0	864	1680	6	0000	0005	1	0	617	0	0	4	0	0	0	0
#05FA [1530]	0	1040	1640	6	0000	0005	1	0	617	0	0	0	0	0	0	0
