场景号	地图号	进入脚本	传送脚本
$0050 [080]	77	43BF	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#062D [1581]	0	256	432	0	43CA	0000	1	5	0	0	0	0	0	0	0	0
#062E [1582]	0	1728	1136	0	43CE	0000	1	5	0	0	0	0	0	0	0	0
#062F [1583]	0	1360	1336	0	A07D	9CB3	2	5	472	2	0	0	0	0	0	0
#0630 [1584]	0	400	1672	0	9E8B	9CB3	2	5	472	2	0	0	0	0	0	0
#0631 [1585]	0	640	1568	0	9E91	9CB3	2	5	472	2	0	0	0	0	0	0
#0632 [1586]	0	848	1384	0	9E8D	9CB3	2	5	472	2	0	0	0	0	0	0
#0633 [1587]	0	592	1304	0	9F0D	9CB3	2	5	472	2	0	0	0	0	0	0
#0634 [1588]	0	1072	984	0	9EE1	9CB3	2	5	59	3	0	0	0	0	0	0
#0635 [1589]	0	608	544	0	9F09	9CB3	2	5	472	2	0	0	0	0	0	0
#0636 [1590]	0	304	504	0	9EE7	9CB3	2	5	472	2	0	0	0	0	0	0
#0637 [1591]	0	384	464	0	09A5	0000	1	1	68	0	0	0	0	0	0	0
#0638 [1592]	0	1120	976	0	09AC	0000	1	1	68	0	0	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
