场景号	地图号	进入脚本	传送脚本
$005B [091]	83	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
#06CD [1741]	0	1088	1248	0	44CF	0000	1	5	0	0	0	0	0	0	0	0
#06CE [1742]	0	1616	1272	0	4A5A	0000	1	5	0	0	0	0	0	0	0	0
#06CF [1743]	0	1472	1440	0	4A5D	0000	1	5	0	0	0	0	0	0	0	0
#06D0 [1744]	0	1104	1336	-9	0000	0005	1	0	619	0	0	0	0	0	0	0
#06D1 [1745]	0	1200	1288	0	0000	0005	1	0	619	0	0	4	0	0	0	0
#06D2 [1746]	0	960	1424	6	0000	0005	1	0	619	0	0	2	0	0	0	0
#06D3 [1747]	0	816	1448	6	0000	0005	1	0	619	0	0	6	0	0	0	0
#06D4 [1748]	0	1664	1360	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#06D5 [1749]	0	960	1424	6	0000	0005	1	0	619	0	0	3	0	0	0	0
#06D6 [1750]	0	816	1448	6	0000	0005	1	0	619	0	0	1	0	0	0	0
#06D7 [1751]	0	560	1384	6	0000	0005	1	0	619	0	0	7	0	0	0	0
#06D8 [1752]	0	416	1456	6	0000	0005	1	0	619	0	0	0	0	0	0	0
#06D9 [1753]	0	672	1424	8	0000	0005	1	0	618	0	0	0	0	0	0	0
#06DA [1754]	0	1280	1472	8	0000	0005	1	0	617	0	0	0	0	0	0	0
#06DB [1755]	0	1408	1408	8	0000	0005	1	0	617	0	0	5	0	0	0	0
#06DC [1756]	0	288	1408	0	4A44	0000	0	2	400	1	3	0	0	0	0	0
#06DD [1757]	0	288	1408	0	4D90	0011	0	2	349	3	3	0	0	0	0	0
#06DE [1758]	0	928	1328	0	4D4F	0000	2	6	98	1	0	0	0	0	0	0
#06DF [1759]	0	1536	1584	0	0000	0000	1	2	14	3	0	0	0	0	0	0
#06E0 [1760]	0	1328	1480	0	0000	0000	1	2	6	3	3	0	0	0	0	0
#06E1 [1761]	0	1152	1520	-1	0000	0000	1	2	317	1	0	0	0	0	0	0
#06E2 [1762]	0	1072	1480	-1	0000	0000	1	2	323	1	0	0	0	0	0	0
#06E3 [1763]	0	1072	1624	2	0000	4D49	1	2	107	3	3	0	0	0	0	0
新事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
