场景号	地图号	进入脚本	传送脚本
#005C [092]	86	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@06E4 [1764]	0	1536	1168	0	442D	0000	1	5	0	0	0	0	0	0	0	0	
@06E5 [1765]	0	512	1712	0	4432	0000	1	5	0	0	0	0	0	0	0	0	
@06E6 [1766]	0	848	1528	0	4926	0000	1	1	381	0	0	0	0	0	0	0	
@06E7 [1767]	0	736	1456	0	4A73	0000	1	5	0	0	0	0	0	0	0	0	
@06E8 [1768]	0	544	304	0	4A85	0000	0	7	349	3	1	0	0	0	0	0	
@06E9 [1769]	0	544	304	0	0000	0000	0	0	350	3	3	0	0	0	0	0	
@06EA [1770]	0	528	280	0	0000	0000	0	0	347	3	3	0	0	0	0	0	
@06EB [1771]	0	480	304	0	0000	0000	0	0	347	3	3	0	0	0	0	0	
@06EC [1772]	0	672	1536	0	05FD	0000	2	1	389	0	0	0	0	0	0	0	
@06ED [1773]	0	640	1552	0	05F7	0000	2	1	389	0	0	0	0	0	0	0	
@06EE [1774]	0	608	1568	0	0939	0000	2	1	389	0	0	0	0	0	0	0	
@06EF [1775]	0	864	1568	0	08CD	0000	2	1	389	0	0	0	0	0	0	0	
@06F0 [1776]	0	816	1528	0	0825	0000	2	1	389	0	0	0	0	0	0	0	
@06F1 [1777]	0	848	1592	0	4BD5	0000	2	1	389	0	0	0	0	0	0	0	
@06F2 [1778]	0	816	1608	0	04A7	0000	2	1	389	0	0	0	0	0	0	0	
@06F3 [1779]	0	784	1624	0	0741	0000	2	1	389	0	0	0	0	0	0	0	
@06F4 [1780]	0	512	1680	0	076B	0000	2	1	389	0	0	0	0	0	0	0	
@06F5 [1781]	0	544	1664	0	07A1	0000	2	1	389	0	0	0	0	0	0	0	
@06F6 [1782]	0	592	1640	0	06A5	0000	2	1	389	0	0	0	0	0	0	0	
@06F7 [1783]	0	1216	816	0	9D31	9CB3	0	5	347	3	0	0	0	0	0	0	
@06F8 [1784]	0	1264	1160	0	9D31	9CB3	0	5	347	3	0	0	0	0	0	0	
@06F9 [1785]	0	960	496	0	9D31	9CB3	0	5	347	3	0	0	0	0	0	0	
@06FA [1786]	0	1440	1232	0	9D31	9CB3	0	5	347	3	0	0	0	0	0	0	
@06FB [1787]	0	784	1464	9	0000	0005	1	0	618	0	0	0	0	0	0	0	
@06FC [1788]	0	944	1544	9	0000	0005	1	0	618	0	0	0	0	0	0	0	
@06FD [1789]	0	736	320	9	0000	0005	1	0	618	0	0	0	0	0	0	0	
@06FE [1790]	0	1136	328	9	0000	0005	1	0	618	0	0	0	0	0	0	0	
@06FF [1791]	0	1040	472	9	0000	0005	1	0	618	0	0	0	0	0	0	0	
@0700 [1792]	0	1360	632	9	0000	0005	1	0	618	0	0	0	0	0	0	0	
@0701 [1793]	0	1392	840	9	0000	0005	1	0	618	0	0	0	0	0	0	0	
@0702 [1794]	0	1328	1128	9	0000	0005	1	0	618	0	0	0	0	0	0	0	
@0703 [1795]	0	928	256	9	0000	0005	1	0	617	0	0	5	0	0	0	0	
@0704 [1796]	0	1472	1120	9	0000	0005	1	0	617	0	0	2	0	0	0	0	
@0705 [1797]	0	704	1520	0	062D	0000	2	1	389	0	0	0	0	0	0	0	
@0706 [1798]	0	560	1528	9	0000	0005	1	0	617	0	0	4	0	0	0	0	
