场景号	地图号	进入脚本	传送脚本
#005D [093]	87	0000	0000	
事件号	隐时间	方位X	方位Y	起始层	触发脚本	自动脚本	状态	触发模式	形象号	形象数	方向	当前帧数	空闲帧数	无效	总帧数	空闲计数
@0707 [1799]	0	768	928	0	43F2	0000	1	5	0	0	0	0	0	0	0	0	
@0708 [1800]	0	768	464	0	43F6	0000	1	5	0	0	0	0	0	0	0	0	
@0709 [1801]	0	560	696	0	444B	0000	1	5	0	0	0	0	0	0	0	0	
@070A [1802]	0	1264	872	0	444F	0000	1	5	0	0	0	0	0	0	0	0	
@070B [1803]	0	1248	704	0	446B	0000	1	5	0	0	0	0	0	0	0	0	
@070C [1804]	0	1072	616	0	4473	0000	1	5	0	0	0	0	0	0	0	0	
@070D [1805]	0	896	528	0	447F	0000	1	5	0	0	0	0	0	0	0	0	
@070E [1806]	0	496	728	0	0021	0000	1	4	0	0	0	0	0	0	0	0	
@070F [1807]	0	416	656	0	003C	0000	1	5	0	0	0	0	0	0	0	0	
@0710 [1808]	0	624	536	0	0000	0011	2	0	100	1	3	0	0	0	0	0	
@0711 [1809]	0	688	584	0	0000	000E	2	0	104	1	1	0	0	0	0	0	
@0712 [1810]	0	640	560	0	0000	0008	2	0	129	1	2	0	0	0	0	0	
@0713 [1811]	0	624	536	0	0000	4643	0	0	376	0	0	0	0	0	0	0	
@0714 [1812]	0	688	584	0	0000	4649	0	0	377	0	0	0	0	0	0	0	
@0715 [1813]	0	640	560	0	0000	464F	0	0	378	0	0	0	0	0	0	0	
@0716 [1814]	0	656	552	0	4623	0000	1	7	375	0	0	0	0	0	0	0	
@0717 [1815]	0	672	528	1	4655	461A	0	2	19	3	2	0	0	0	0	0	
@0718 [1816]	0	784	856	0	46DD	0000	2	3	117	1	3	0	0	0	0	0	
@0719 [1817]	0	688	584	0	493B	0000	0	2	117	1	2	0	0	0	0	0	
@071A [1818]	0	848	696	0	0000	0000	1	2	172	0	0	0	0	0	0	0	
@071B [1819]	0	816	728	0	0000	0000	1	2	178	0	0	0	0	0	0	0	
@071C [1820]	0	816	696	0	0000	0000	1	2	293	0	0	0	0	0	0	0	
@071D [1821]	0	1120	816	4	0000	0057	1	2	72	0	0	0	0	0	0	0	
@071E [1822]	0	1120	832	4	0000	0000	1	0	74	0	0	0	0	0	0	0	
@071F [1823]	0	944	904	0	0000	0000	1	2	297	0	0	0	0	0	0	0	
@0720 [1824]	0	976	904	0	0000	0000	1	2	284	0	0	0	0	0	0	0	
@0721 [1825]	0	1200	712	0	4564	0000	2	1	275	0	0	0	0	0	0	0	
@0722 [1826]	0	1216	720	0	4564	0000	2	1	274	0	0	0	0	0	0	0	
@0723 [1827]	0	1024	624	0	4567	0000	2	1	275	0	0	0	0	0	0	0	
@0724 [1828]	0	1040	632	0	4567	0000	2	1	274	0	0	0	0	0	0	0	
@0725 [1829]	0	864	544	0	456A	0000	2	1	275	0	0	0	0	0	0	0	
@0726 [1830]	0	880	552	0	456A	0000	2	1	274	0	0	0	0	0	0	0	
@0727 [1831]	0	736	480	0	456D	0000	2	1	275	0	0	0	0	0	0	0	
@0728 [1832]	0	752	488	0	456D	0000	2	1	274	0	0	0	0	0	0	0	
@0729 [1833]	0	752	632	0	45AD	0000	2	5	369	4	0	16	0	0	0	0	
@072A [1834]	0	736	512	0	0000	0000	0	0	459	0	0	0	0	0	0	0	
@072B [1835]	0	768	528	0	4709	0000	0	6	350	3	1	0	0	0	0	0	
